"Hazard ID","ELR","Start Mileage","Zonecode","BRS","End Mileage","Track ID","IDENTIFIER","Item Code","MAP","Easting","Northing","Local Name","Subzone","Status","Verified","Parent ID","Parent GRP","Photograph File","Position","Condition","Condition Date","Purpose/Usage","Line No","Intermim Ref No","Last Updated","Last Updater","Maintainer","Year of Birth","Year of Death","Verification Stage","Verification Date","Track Description","Additional Information","OS GRID REF"
"60108408","ABD","17.0264","QC","","18.011","2100","","MA","","307718.0","195767.0","Pontycynon","HCJ8","","","","","","","","","","","60108408","2022-06-06","","GTRM","","","","","Down Main/Fast","ST077957-170 Railtrack status = closedGas = unknown Type of waste unknown. Access Point - HAZARD V.10. VEH. Jct.32. A470 to Abercynnon R/A. 1st exit left alongA4059 for maountain Ash. Look for sign for Sports Centre. Left turn for Sports Centre and Penrhiwceiber., Follow road over railway bridge. Left turn before Sports Centre. Access gates on right opposite Abercynnon Rygby Club.",""
"60114267","ABD","17.0726","QC","","17.0726","0","","MA","","307518.0","196050.0","Abercynon North","HCJ8","","","","","","","","","","","60114267","2022-06-06","","GTRM","","","","","All/Multiple Tracks","ST068968-170 Railtrack Emergency Access <foot> - Upside access gate <foot> at end of public rd <Pontcynon Terrace, off Abercynon Rd - B4275>. Private Bridleway Access Point - HAZARD V.10",""
"60114268","ABD","17.1012","QC","","17.1012","2100","","MA","","307392.0","196377.0","Abercynon North","HCJ8","","","","","","","","","","","60114268","2022-06-06","","GTRM","","","","","Down Main/Fast","ST066968-170 Railtrack Upside access gate at end of public rd <Caemaen St, off Selina Rd from B4275> Access Point - HAZARD V.10. PED. Jct.32. A470 to Abercynnon R/A. 1st exit left alongA4059 for maountain Ash. Look for sign for Sports Centre. Left turn for Sports Centre and Penrhiwceiber, Follow road over railway bridge to B4275. Right along Abercynnon road rowards Penrhiwceiber. Right at sign for Ysysboeth Industrial Estate. Down hill along Nant-Y-Fedw. Right opposite factory gates along Caemaen St. Park and walk along footpath at side of end terrace to access gate.",""
"60114269","ABD","18.022","QC","","18.022","1100","","MA","","306824.0","196827.0","Penrhiwceiber","HCJ8","","","","","","","","","","","60114269","2022-06-06","","GTRM","","","","","Up Main/Fast","ST062974-170 Railtrack Tyntetown: upside access gate <foot> to old Mathewstown Halt LC via Walsh St, off B4275 Access Point - HAZARD V.10. PED. Jct.32. A470 to Abercynnon R/A. 1st exit left alongA4059 for maountain Ash. Look for sign for Sports Centre. Left turn for Sports Centre and Penrhiwceiber, Follow road over railway bridge to B4275. Along B4275 to Ynysboeth. Right turn for Texaco garage into Walsh street. Right turn down hill to bottom. Look for Halt House on right. Park and walk along footpath at side of Halt House to access gate.",""
"60114270","ABD","18.154","QC","","18.154","0","","MA","","306098.0","197624.0","Penrhiwceiber","HCJ8","","","","","","","","","","","60114270","2022-06-06","","GTRM","","","","","All/Multiple Tracks","ST061975-170 Railtrack Access via gate at north end of site from Station Terrace across site to gate at eastern end to upside <vehicle> Access Point - HAZARD V.10",""
"60114271","ABD","18.1606","QC","","18.1606","3100","","MA","","306076.0","197653.0","Penrhiwceiber","HCJ8","","","","","","","","","","","60114271","2022-06-06","","GTRM","","","","","Rev Main/Fast","ST060977-170 Railtrack Penrhiwceiber Station: Access via Station Terrace off Penrhiiwceiber Rd - B4275 Access Point - HAZARD V.10",""
"70323126","ABD","19.1628","QC","","19.1628","0","","MA","","333016.0","350396.0","Mountain Ash","HCJ8","","","","","","","","","","","70323126","2020-07-22","","","","","","","All/Multiple Tracks","Asset number: 837555                                 AD120 Authorised Access Point - Unknown",""
"60114273","ABD","20.0242","QC","","20.0242","1100","","MA","","304741.0","199193.0","Mountain Ash","HCJ8","","","","","","","","","","","60114273","2022-05-30","","GTRM","","","","","Up Main/Fast","ST049990-170 Railtrack Mountain Ash Station: Access via Oxford St <B4275> and Henry St Access Point - HAZARD V.10. PED. Jct.32. A470 towards Merthyr. 1st exit on Abercynnon R/A for A4059. Continue along A4059 to Mountain Ash. Left at Council Offices and next left pver bridge to T/Ls. Left on T/Ls along Oxford Street. Left before Workingmens Clubinto Henry Street. Station on left. Acess gate on left in car park.",""
"60114260","ABD","21.0","QC","","21.0","1100","","MA","","303444.0","199693.0","Fernhill","HCJ8","","","","","","","","","","","60114260","2022-06-06","","GTRM","","","","","Up Main/Fast","ST035996-170 Railtrack Fernhill Station: From Aberdare Rd - B4275. Public FP Access Point - HAZARD V.10. PED. Jct.32. A470 towards Merthyr. 1st exit on Abercynnon R/A for A4059. Continue along A4059 to Mountain Ash. Left at Council Offices and next left pver bridge to T/Ls. Right along B4275 Aberdare rd. Pass Cemetry on left. Look for station sign on left. Park in Glenboi and walk across road to station.",""
"60114310","ABD","21.0176","QC","","21.0176","1100","","MA","","303444.0","199693.0","Fernhill","HCJ8","","","","","","","","","","","60114310","2022-06-06","","GTRM","","","","","Up Main/Fast","ST034997-170 Railtrack Bruces Upper LC: Access from Aberdare Rd - B4275 via public FP Access Point - HAZARD V.10. PED. Jct.32. A470 towards Merthyr. 1st exit on Abercynnon R/A for A4059. Continue along A4059 to Mountain Ash. Left at Council Offices and next left pver bridge to T/Ls. Right along B4275 Aberdare rd. Pass Cemetry on left. Look for station sign on left. Past station. Right off Aberdare Rd via public F/Path.",""
"60114326","ABD","21.066","QC","","21.066","1100","","MA","","303177.0","199982.0","Fernhill","HCJ8","","","","","","","","","","","60114326","2022-06-06","","GTRM","","","","","Up Main/Fast","ST031999-170 Railtrack Emergency Access - Former Abercwmboi Signal Box: Access Point - HAZARD V.10. PED. Jct.32. A470 towards Merthyr. 1st exit on Abercynnon R/A for A4059. Continue along A4059 to Mountain Ash. Left at Council Offices and next left pver bridge to T/Ls. Right along B4275 Aberdare rd. Pass Cemetry on left. Look for station sign on left. Past Fernhill station. Right thro derelict colliery/chemical site. Bear right at boundary fence. Continue to access gate",""
"110175373","ABD","16.11","QC","","17.0396","1100","","MAP","","","","Abercynon Community Primary School Staff Car Park","HCJ8","","","","","","","","","","","110175373","2023-05-31","","","","","","","Up Main/Fast","Restricted Access Point.~
Access point already installed by NR but not  an official access point.  Access to be used for INNS / Vegetation treatment <Off Track>.~
The access point is within the staff car park of local primary school that cannot be accessed by children.  There is a combination lock on an access gate to the car park, which is open during school hours.  Combination coide should be sought from the local authority.",""
"70322973","ABD","17.033","QC","","17.033","3400","","MAR","","307718.0","195767.0","Abercynon Rugby Club","HCJ8","","","","","","","","","","","70322973","2023-05-31","","","","","","","Rev Single","Semi Permanent.  GPS ST 07722 95785",""
"70322974","ABD","19.143","QC","","19.143","1100","","MAR","","305109.0","198765.0","Mountain Ash","HCJ8","","","","","","","","","","","70322974","2023-05-31","","","","","","","Up Main/Fast","Semi Permanent.  GPS ST 05105 98765",""
"60114266","ABD","16.0737","QC","","16.0737","2100","","MAV","","308124.0","194656.0","Abercynon N","HCJ8","","","","","","","","","","","60114266","2023-05-31","","GTRM","","","","","Down Main/Fast","ST083948-170 Railtrack Abercynon North Station: Access Point - HAZARD V.10. VEH. Jct. 32. A470 to Abercynnon West turn-off for B4275. Pass Navigation pub and continue under railway bridge towards town centre. Under Second railway- bridge and left along Station rd. Abercynnon North Station on left.",""
"120001191","ABD","17.0001","QC","","17.0002","2100","","MAV","","478932.0","429675.0","Test Access Point 1","HCJ8","","","","","","","","","","","120001191","2022-10-20","","NRAIL","","","","","Down Main/Fast","Write anything you want here","SE 78932 29675"
