"ELR_ZONE","ELR","ELR_SYSID","ELR_STARTMILES","End Mileage","ELR_DESCRIPTION","ELR_SUBZONE","ELR_DRNMOD","ELR_STATUS"," ELR_INCLUDE","ELR_SMA","ELR_ELECTRIFICATION"
"QC","ABD","4137","16.0446","22.0028","ABERDARE  BRANCH","HCJ8","","","false","",""
"QC","AFE","2440","-0.0002","0.0553","ABBEY FOREGATE JN - ENGLISH BR JN (LOOP LINES)","HCJ7","","","false","",""
"QC","ALK","4141","22.0026","22.0509","ABERDARE LINK LINE","HCJ8","","","false","",""
"QC","APG","0","-0.0110","0.0781","ABERPERGWM BRANCH","HCJ6","","","false","",""
"QC","APS","0","4.1418","7.1316","ABERTHAW POWER STATION BRANCH","HCJ6","","","false","",""
"QC","BAL","4174","0.0244","9.0176","BRIDGEND & ABERGWYNFI LINE","HCJ6","","","false","",""
"QC","BAN1","0","205.1619","206.0004","BAGLAN BRANCH","HCJ6","","","false","",""
"QC","BAN2","0","0.0000","0.0799","BAGLAN BRANCH","HCJ6","","","false","",""
"QC","BDL","0","5.1614","8.0722","BARRY DOCKS HIGH LEVEL LINE","HCJ6","","","false","",""
"QC","BDO","0","6.0401","8.0660","BARRY DOCKS LOW LEVEL LINE NO.1","HCJ6","","","false","",""
"QC","BDO2","4548","7.0986","8.0097","BARRY DOCKS: SULLY MOORS EXTENSION LINE","HCJ6","","","false","",""
"QC","BFZ","0","16.0990","17.0592","BRITON FERRY DOCKS BRANCH","HCJ6","","","false","",""
"QC","BJR","4189","0.0000","4.1518","BASSALEG JUNCTION & RHYMNEY LINE","HCJ6","","","false","",""
"QC","BJZ","0","16.0990","18.0660","BAGLAN JUNCTION TO NEATH JUNCTION LOOP","HCJ6","","","false","",""
"QC","BNC","4195","0.0059","0.0427","BRECON CURVE (HEREFORD)","HCJ7","","","false","",""
"QC","BRY","828","0.0220","9.0205","BARRY LINE","HCJ6","","","false","",""
"QC","BSW","6319","9.1255","17.0026","BRISTOL & SOUTH WALES UNION LINE","HCJ6","","","false","",""
"QC","BUT","0","-0.0018","0.0726","BUTE DOCKS BRANCH","HCJ6","","","false","",""
"QC","CAM","3578","0.0066","24.1034","CARDIFF & MERTHYR LINE","HCJ8","","","false","",""
"QC","CAN","829","245.0214","245.1441","CARMARTHEN & NEWCASTLE EMLYN LINE","HCJ6","","","false","",""
"QC","CAR","3285","1.0501","23.1751","CARDIFF & RHYMNEY LINE","HCJ8","","","false","",""
"QC","CCC","4555","170.1256","171.0590","CARDIFF CANTON CARRIAGE & D.M.U. DEPOT","HCJ6","","","false","",""
"QC","CCD","4556","170.1311","171.0466","CARDIFF CANTON LOCOMOTIVE DEPOT","HCJ6","","","false","",""
"QC","CCS","0","0.0451","0.1097","CARDIFF CANTON ALL OTHER SIDINGS","HCJ6","","","false","",""
"QC","CDK1","0","4.1188","5.0429","CARDIFF DOCKS - SPLOTT JCN TO ROATH DOCK ROAD LC","HCJ6","","","false","",""
"QC","CDK2","0","4.1188","5.0429","CARDIFF DOCKS - SPLOTT JCN TO LOCKS ROAD","HCJ6","","","false","",""
"QC","CDK3","0","5.0450","6.0286","CARDIFF DOCKS - COMPASS ROAD TO LONGSHIP ROAD","HCJ6","","","false","",""
"QC","CDK4","0","5.0258","5.0928","CARDIFF DOCKS - JUCTION LOCK RD TO FIRGATE ROAD","HCJ6","","","false","",""
"QC","CEB","0","0.0000","0.0132","CARDIFF EAST BRANCH","HCJ6","","","false","",""
"QC","CEJ","4220","-0.0002","0.0485","CARDIFF EAST JUNCTION LINE","HCJ8","","","false","",""
"QC","CFR","0","0.0000","1.0176","CARDIFF RIVERSIDE BRANCH (FORMERLY CRS)","HCJ6","","","false","",""
"QC","CHT","0","1.0506","1.0748","CROCKHERBTOWN LOOP (FORMERLY CHN)","HCJ6","","","false","",""
"QC","CLL","4223","0.0000","0.0574","CARDIFF LECKWITH LOOP","HCJ6","","","false","",""
"QC","CMG","0","0.0000","2.1230","(CLOSED) CWMGORSE BRANCH","HCJ6","","","false","",""
"QC","CMM","0","0.0000","12.1144","CWMMAWR BRANCH","HCJ6","","","false","",""
"QC","CNH3","2932","188.0881","263.1257","CHESTER SOUTH JN - HOLYHEAD","HCJ7","","","false","",""
"QC","CNW","4224","0.0000","0.0428","CARMARTHEN WEST LOOP","HCJ6","","","false","",""
"QC","CPL","4228","0.0000","0.0561","CARDIFF PENARTH LOOP","HCJ6","","","false","",""
"QC","CQS","0","1.0352","1.0550","CARDIFF QUEEN ST NORTH JUNCTION","HCJ6","","","false","",""
"QC","CRB","0","18.0770","18.1672","COWBRIDGE ROAD JUNCTION TO BRIDGEND","HCJ6","","","false","",""
