"A range of instruments have been deployed over the section of track noted above. The instrumentation comprises of,  • Pressure cells, piezometers, accelerometers and fibre optic cable installed in the formation and ballast layer • Fibre optic cable and ac",70326455
"A range of instruments have been deployed over the section of track noted above. The instrumentation comprises of,  • Pressure cells, piezometers, accelerometers and fibre optic cable installed in the formation and ballast layer • Fibre optic cable and ac",70326456
"PEDESTRAIN ACCESS GATE LOCATED ON SOUTH VIEW ROAD. RHOOSE BARRY",70330169
"ACCESS GATE ON FONTYGARY ROAD. LIMITIED PARKING HERE.",70330170
"Authorised access point Road Rail Vehicle",70325315
"AUTHORISED ACCESS POINT - ROAD/RAIL VEH",70325318
"AUTHORISED ACCESS POINT - PEDESTRIAN",70325320
"AUTHORISED ACCESS POINT - ROAD/RAIL VEH",70325323
"AUTHORISED ACCESS POINT - ROAD/RAIL VEH",70325325
"AUTHORISED ACCESS POINT - VEHICLE",70325328
"AUTHORISED ACCESS POINT - UNKNOWN",70325329
"E&P SB210 - SBK - PUMP. PRESUME AMOSITE",70325858
"OPERATIONAL PROPERTY - CHRYSOTILE",70325873
"OPERATIONAL PROPERTY PRESUME AMOSITE",70325874
"OPERATIONAL PROPERTY - CHRYSOTILE",70325885
"WARNING SSOW WORKING PROHIBITED UP BARRY RELIEF FOR LENGTH OF CARDIFF CENTRAL PLATFORM 4",70323973
"WARNING SSOW WORKING PROHIBITED LINE E FOR LENGTH OF CARDIFF CENTRAL PLATFORM 3",70323974
"WARNING SSOW WORKING PROHIBITED UP BARRY FOR LENGTH OF CARDIFF CENTRAL PLATFORM 6",70323975
"WARNING SSOW WORKING PROHIBITED DOWN BARRY FOR LENGTH OF CENRAL STATION PLATFORM 7",70323976
"WARNING SSOW WORKING PROHIBITED DOWN BARRY FOR LENGTH OF CARDIFF CENRAL PLATFORM 8",70323977
"CF2018 STP""s removed and white diamond fitted No POS",70323978
"User worked crossing",70329385
Footpath,70329386
"Open carried drain installed in the CESS on the Up Main and the CESS width has been reduced and with an average height of 700mm from bottom of invert to top of ballast boards - they could present a trip or fall from height hazard. This also limits the spa",70329424
"Open carried drain installed in the CESS on the Down Main and the CESS width has been reduced and with an average height of 700mm from bottom of invert to top of ballast boards - they could present a trip or fall from height hazard. This also limits the s",70329425
"Climbing 0008 Caldicot Station GSM-R Telecoms Mast personnel or equipment are liable to come within 2.75m of live overhead wires, ~
Before climbing Isolation of the Overhead Line is required <Form C> in accordance with NR/L3/ELP/29987.~
Further details of",70325675
"0001 Cardiff Brunel House GSM-R Telecoms Mast achieves >2.75m+0.75m Working Room when climbing from the nearest live overhead wire.~
This clearance needs to be assessed against whether it is sufficient for the planned work activity as part of the task spe",70325676
Footpath,70329444
"Strail Level Crossing Surface Renewal - December 2023 ~
Keys for bollards and lighting column gate with LXM",40535993
"RRAP RENEWED 2023",70330724
"Fire Risk: This bridge has timber elements.~
Safe working methods and extreme care should be taken when carrying out any hot working tasks including the use of flame cutting tools and grinding equipment.~
The SSOWP must plan for appropriate equipment to b",70329784
"Fire Risk: This bridge has timber elements.~
Safe working methods and extreme care should be taken when carrying out any hot working tasks including the use of flame cutting tools and grinding equipment.~
The SSOWP must plan for appropriate equipment to b",70329785
"Fire Risk: This bridge has timber elements.~
Safe working methods and extreme care should be taken when carrying out any hot working tasks including the use of flame cutting tools and grinding equipment.~
The SSOWP must plan for appropriate equipment to b",70329786
"Fire Risk: This bridge has timber elements.~
Safe working methods and extreme care should be taken when carrying out any hot working tasks including the use of flame cutting tools and grinding equipment.~
The SSOWP must plan for appropriate equipment to b",70329787
"Fire Risk: This bridge has timber elements.~
Safe working methods and extreme care should be taken when carrying out any hot working tasks including the use of flame cutting tools and grinding equipment.~
The SSOWP must plan for appropriate equipment to b",70329788
"Fire Risk: This bridge has timber elements.~
Safe working methods and extreme care should be taken when carrying out any hot working tasks including the use of flame cutting tools and grinding equipment.~
The SSOWP must plan for appropriate equipment to b",70329789
"Fire Risk: This bridge has timber elements.~
Safe working methods and extreme care should be taken when carrying out any hot working tasks including the use of flame cutting tools and grinding equipment.~
The SSOWP must plan for appropriate equipment to b",70329790
"Fire Risk: This bridge has timber elements.~
Safe working methods and extreme care should be taken when carrying out any hot working tasks including the use of flame cutting tools and grinding equipment.~
The SSOWP must plan for appropriate equipment to b",70329791
"Fire Risk: This bridge has timber elements.~
Safe working methods and extreme care should be taken when carrying out any hot working tasks including the use of flame cutting tools and grinding equipment.~
The SSOWP must plan for appropriate equipment to b",70329792
"Fire Risk: This bridge has timber elements.~
Safe working methods and extreme care should be taken when carrying out any hot working tasks including the use of flame cutting tools and grinding equipment.~
The SSOWP must plan for appropriate equipment to b",70329793
"Fire Risk: This bridge has timber elements.~
Safe working methods and extreme care should be taken when carrying out any hot working tasks including the use of flame cutting tools and grinding equipment.~
The SSOWP must plan for appropriate equipment to b",70329794
"Fire Risk: This bridge has timber elements.~
Safe working methods and extreme care should be taken when carrying out any hot working tasks including the use of flame cutting tools and grinding equipment.~
The SSOWP must plan for appropriate equipment to b",70329795
"Parking is on residential streets so suitable care must be taken to be courteous, keep noise to a minimum and park resonably",70329984
"No access permitted onto the Vroe Farm, land is on the up side. The land owner has cameras which monitor the whole area, any access without permission could lead to a loss of all access to this area. Permission to access must be made via the Shrewsbury DU",70330544
"This RRAP is located in the CNH3 2902",70329726
"ST503876-172 Richard Thomas & Baldwins Now a water supply to British Steel Llanwern, depth below ground or rail varies according to position along route. At this location pipe crosses line at 45 degrees NE/SW 0.13 to 0.12 and then along up boundary toward",60114004
"SO443913-137 Railtrack Little Stretton OB <off B4370> Access via field gate <North corner> leading to upside Access Point - HAZARD V.10",60114725
"SO435854-137 Railtrack Winstanstow OB <off A49>. Access via stile <NE corner> down to dnside <foot> Access Point - HAZARD V.10",60114728
