"Hazard ID","ELR","Start Mileage","Zonecode","BRS","End Mileage","Track ID","IDENTIFIER","Item Code","MAP","Easting","Northing","Local Name","Subzone","Status","Verified","Parent ID","Parent GRP","Photograph File","Position","Condition","Condition Date","Purpose/Usage","Line No","Intermim Ref No","Last Updated","Last Updater","Maintainer","Year of Birth","Year of Death","Verification Stage","Verification Date","Track Description","Additional Information","OS GRID REF"
"60332585","AFR","112.0616","QD","","112.0616","1100","","MA","","","","STOKE GIFFORD BL1833 SIGNAL","HDJ6","","","","","","","","","","","60332585","2024-02-02","","NRAIL","","","","","Up Main/Fast","",""
"60329090","AFR","113.1709","QD","","113.1709","1100","","MA","","","","Concorde, Bristol side of Charlton Tunnel","HDJ6","","","","","","","","","","","60329090","2022-05-27","","NRAIL","","","","","Up Main/Fast","ST589799,  51.517015 -2.592783.  BS10 6LY.  Access from Charlton Road, this access is only available via Charlton Road in office hours otherwise access is gained from Golf Course Lane.  Either access roads require access onto the Airbus site, ring 0117 9693831 option 1 in advance to book in.  Explain that you would like to access the site to get to Charlton Tunnel.",""
"60095416","AFR","117.0385","QD","","117.0385","1100","","MA","","354069.0","180121.0","Chittening Under Bridge, Moorhouse Lane","HDJ6","","","","","","","","","NP","","60095416","2022-05-27","","NRAIL","","","","","Up Main/Fast","ST540801.  51.518255 -2.663242.  BS11 0FD.  Moorhouse Lane, access up steps to railway, once through 5 bar gate.",""
"60329091","AFR","117.1628","QD","","117.1628","1100","","MA","","353164.0","180839.0","Hallen Moor","HDJ6","","","","","","","","","","","60329091","2022-11-02","","NRAIL","","","","","Up Main/Fast","ST532811.  51.526457 -2.676480.  BS11 0YU.  Long walk down lane, over bridge, then left up to gate.",""
"60329092","AFR","118.022","QD","","118.022","1100","","MA","","352905.0","181008.0","Hallen Moor","HDJ6","","","","","","","","","","","60329092","2022-11-02","","NRAIL","","","","","Up Main/Fast","ST532811.  51.526457 -2.676480.  BS11 0YU.  Long walk down lane, over bridge, then to right, up by signal SA27.",""
"60329086","AFR","118.1376","QD","","118.1376","3100","","MA","","352086.0","180553.0","Bristol & Avon","HDJ6","","","","","","","","","","","60329086","2023-01-12","","NRAIL","","","","","Rev Main/Fast","ST521806.  51.521849 -2.691980.  Access off St Andrew""s Road onto Holes Mouth.",""
"60095266","AFR","119.011","QD","","119.011","2100","","MA","","351903.0","180141.0","Iron Church Road","HDJ6","","","","","","","","","NP","","60095266","2023-01-12","","NRAIL","","","","","Down Main/Fast","ST519801.  51.517970 -2.693619.  BS11 9YQ.  Iron Church Road, keys required for vehicle access out of hours.  Access into shunters yard where you can drive towards St. Andrew""s Signal Box.",""
"120002437","AFR","112.11","QD","","112.11","1400","","MAP","","361098.0","179846.0","North Way - Core Node","HDJ6","","","","","","","","","Foot Access to Core Node and AFR Single Line","","120002437","2026-03-13","","","","","","","Up Single","Park on Road, foot access only to core node and AFR single line",""
"60332587","AFR","112.154","QD","","112.154","2100","","MAP","","","","FILTON WEST JUNCTION","HDJ6","","","","","","","","","","","60332587","2024-02-02","","NRAIL","","","","","Down Main/Fast","",""
"60095445","AFR","114.033","QD","","114.033","1100","","MAP","","358655.0","179782.0","Charlton Tunnel North","HDJ6","","","","","","","","","NP","","60095445","2020-02-20","","NRAIL","","","","","Up Main/Fast","ST587799.  51.516071 -2.596273.  BS10 6LY.  Charlton Road.  Left turn into Charlton Common.",""
"60095446","AFR","114.1441","QD","","114.1441","2100","","MAP","","357669.0","179587.0","Fishpool Overbridge","HDJ6","","","","","","","","","NP","","60095446","2022-05-27","","NRAIL","","","","","Down Main/Fast","ST57797.  51.513613 -2.611364.  BS10 6UA.  Charlton Lane leading into Fishpool Hill. Limited car parking in Lidls car park.",""
