"ELR_ZONE","ELR","ELR_SYSID","ELR_STARTMILES","End Mileage","ELR_DESCRIPTION","ELR_SUBZONE","ELR_DRNMOD","ELR_STATUS"," ELR_INCLUDE","ELR_SMA","ELR_ELECTRIFICATION"
"QD","AFR","4140","112.0115","120.0083","AVONMOUTH AND FILTON RAILWAY","HDJ6","","","false","",""
"QD","AMB","4142","11.1419","16.0066","AVONMOUTH BRANCH","HDJ6","","","false","",""
"QD","ANL","2533","3.0427","8.1320","ACTON & NORTHOLT LINE (VIA GREENFORD EAST)","HDJ7","","","false","",""
"QD","ARD","0","0.0418","0.0990","(CLOSED) ALPHINGHTON ROAD GOODS BRANCH (FORMERLY ARG)","HDJ8","","","false","",""
"QD","AWL","2705","0.0118","0.0858","ACTON EAST - ACTON WELLS JN (ACTON WELLS LINE) (FORMERLY AWB)","HDJ7","","","false","",""
"QD","BAE2","6203","163.1101","172.0110","SALISBURY (FISHERTON)(SHORT MILE) <SR> - EXETER <WR>","HDJ8","","","false","",""
"QD","BAG2","6812","77.0881","92.1656","KINGS NORTON - GLOUCESTER (BIRMINGHAM - GLOUCESTER)","HDJ6","","","false","",""
"QD","BAW","0","128.1610","128.1694","BRISTOL - AVONSIDE WHARF","HDJ6","","","false","",""
"QD","BFB","4179","-0.0270","9.0394","BRADFORD BRANCH","HDJ8","","","false","",""
"QD","BGL1","6834","93.0107","94.0223","BRISTOL AND GLOUCESTER LINE (GLOUCESTER YD JN - COM)","HDJ6","","","false","",""
"QD","BGL2","4187","94.1319","122.1421","BRISTOL AND GLOUCESTER LINE  (COM - BRISTOL E.) {PART CLOSED}","HDJ6","","","false","",""
"QD","BHB","0","118.0440","119.0968","BRISTOL HARBOUR BRANCH","HDJ6","","","false","",""
"QD","BHL","947","37.1313","81.0418","BERKS AND HANTS LINE","HDJ7","","","false","",""
"QD","BKE","6510","35.1343","38.0660","READING WESTBURY LINE JUNCTION <W.R.> - BASINGSTOKE STATION <S.R.>","HDJ7","","","false","",""
"QD","BLL","4193","117.1108","117.1613","BRISTOL LOOP LINE","HDJ6","","","false","",""
"QD","BMD","0","118.0735","118.1135","BATH ROAD TRACTION MAINTENANCE DEPOT","HDJ6","","","false","",""
"QD","BOD","0","274.0198","277.0924","BODMIN","HDJ8","","","false","",""
"QD","BRB","826","0.0007","2.1554","BRENTFORD BRANCH","HDJ7","","","false","",""
"QD","BRL","827","0.0009","1.0199","BRISTOL RELIEF LINE","HDJ6","","","false","",""
"QD","BSW","6319","0.0130","9.1254","BRISTOL & SOUTH WALES UNION LINE","HDJ6","","","false","",""
"QD","BWW","0","1.0374","1.0596","BRISTOL WAPPING WHARF JUNCTION- ASHTON S B JUNCTION","HDJ6","","","false","",""
"QD","CAL","6054","0.0042","4.0847","CALLINGTON BRANCH","HDJ8","","","false","",""
"QD","CBS","0","287.0946","289.0297","CARBIS BRANCH","HDJ8","","","false","",""
"QD","CCL","958","115.0715","138.0681","CASTLE CARY AND LANGPORT LINE","HDJ8","","","false","",""
"QD","CHL","6729","92.0452","93.0109","CHELTENHAM LOOP","HDJ6","","","false","",""
"QD","CNP","4561","246.0176","246.0638","CORNWALL LOOP {EX CNL}","HDJ8","","","false","",""
"QD","CNX","4227","2.0056","9.0676","CLIFTON AND AVONMOUTH LINE","HDJ6","","","false","",""
"QD","CPP","0","0.1320","1.0440","(CLOSED) CRYSTAL PALACE LOOP","HDJ7","","","false","",""
"QD","CTM","0","3.0071","7.0143","(CLOSED) CHELTENHAM BRANCH <FORMERLY CHE>","HDJ6","","","false","",""
"QD","CWR","4240","0.0953","1.1078","CATTEWATER BRANCH","HDJ8","","","false","",""
"QD","DAC","3608","173.1114","227.0500","EXETER AND DEVONPORT LINE","HDJ8","","","false","",""
"QD","DCL","1056","52.1749","75.0000","DIDCOT - BEYOND CANNOCK ROAD JN. (DIDCOT & CHESTER LINE)","HDJ6","","","false","",""
"QD","DDB","4565","249.0807","249.0900","DEVONPORT DOCKYARD BRANCH {EX DYK}","HDJ8","","","false","",""
"QD","DDS","0","0.0205","0.1043","DR. DAY'S SIDINGS (NOW INCLUDED IN ELR BSW)","HDJ6","","","false","",""
"QD","DEC","4255","52.1164","53.1586","DIDCOT EAST CURVE","HDJ6","","","false","",""
"QD","DEL","0","-999.0000","999.0000","DELETED RECORDS","","","","false","",""
"QD","DNG","4566","291.0677","291.1331","DRINNICK MILL","HDJ8","","","false","",""
"QD","DPS","4567","0.0000","1.1729","DIDCOT POWER STATION","HDJ6","","","false","",""
"QD","DSY","4568","109.1503","110.0295","DOWN SIDINGS YARD (WESTBURY)","HDJ8","","","false","",""
"QD","DWC","4257","-0.0027","0.0710","DIDCOT WEST CURVE","HDJ6","","","false","",""
"QD","EMT","940","-0.0023","9.0700","EXETER AND EXMOUTH LINE","HDJ8","","","false","",""
"QD","ERY","4569","193.0163","193.0971","EXETER RIVERSIDE MARSHALLING YARD","HDJ8","","","false","",""
"QD","ESB","942","0.0238","5.1056","EAST SOMERSET BRANCH","HDJ8","","","false","",""
"QD","EXR","6971","0.0000","0.0759","EXETER RAILWAY","HDJ8","","","false","",""
"QD","FAL1","4260","301.0542","307.1144","FALMOUTH BRANCH (PENWITHERS JN. - COM)","HDJ8","","","false","",""
"QD","FAL2","4261","307.1166","309.0528","FALMOUTH BRANCH (COM - COM)","HDJ8","","","false","",""
"QD","FAL3","4262","309.0550","312.1078","FALMOUTH BRANCH (COM - FALMOUTH)","HDJ8","","","false","",""
"QD","FEC","4264","111.1747","113.0350","FILTON EAST CURVE (FORMERLY FIL)","HDJ6","","","false","",""
"QD","FNS1","4265","114.1635","115.0532","FROME TO NORTH SOMERSET JN LINE (FROME NORTH JN - MILEAGE CHANGE)","HDJ8","","","false","",""
"QD","FNS2","944","0.0000","2.1172","FROME TO NORTH SOMERSET JN LINE (MILEAGE CHANGE - RADSTOCK WEST)","HDJ8","","","false","",""
"QD","FOY","0","282.0356","282.0435","FOWEY BRANCH - ST BLAZEY TO FOWEY","HDJ8","","","false","",""
"QD","FRA","6546","114.0815","116.0971","FROME AVOIDING LINE","HDJ8","","","false","",""
"QD","FRM","0","0.0000","0.0682","FROME MINERAL LOOP","HDJ6","","","false","",""
"QD","FRY","4268","244.1311","245.0873","FRIARY BRANCH","HDJ8","","","false","",""
"QD","FWC","962","4.1446","5.0902","FILTON WEST CURVE","HDJ6","","","false","",""
"QD","GCT","0","143.0056","144.0110","(CLOSED) GRANGE COURT & HEREFORD LINE {EX GCH}","HDJ6","","","false","",""
"QD","GEC","963","8.0975","8.1547","GREENFORD EAST CURVE","HDJ7","","","false","",""
"QD","GNY2","0","92.0895","92.1757","GLOUCESTER NEW YARD (OFF CHL)","HDJ6","","","false","",""
"QD","GOO","0","287.0847","290.1078","(CLOSED) GOONBARROW","HDJ8","","","false","",""
"QD","HAN","970","-0.0002","0.0799","HANWELL LOOP","HDJ7","","","false","",""
"QD","HED","0","3.0435","3.0498","HEATHROW EXPRESS DEPOT","HDJ7","","","false","",""
"QD","HEN","6473","31.0040","35.1100","HENLEY-ON-THAMES BRANCH","HDJ7","","","false","",""
"QD","HIW","0","-0.0089","0.0251","HIGHWORTH BRANCH (CLOSED BEYOND 1M 0CH)","HDJ6","","","false","",""
"QD","HLL","6759","11.0078","16.0998","HEATHROW LINK LINE","HDJ7","","","false","",""
"QD","HLL1","0","12.0641","16.1079","HEATHROW TERMINAL 4","HDJ7","","","false","",""
"QD","HLL2","0","12.0640","16.0473","HEATHROW TERMINAL 5","HDJ7","","","false","",""
"QD","KRS","0","117.1166","117.1716","(CLOSED) KINGSLAND ROAD SIDINGS","HDJ6","","","false","",""
