"Hazard ID","ELR","Start Mileage","Zonecode","BRS","End Mileage","Track ID","IDENTIFIER","Item Code","MAP","Easting","Northing","Local Name","Subzone","Status","Verified","Parent ID","Parent GRP","Photograph File","Position","Condition","Condition Date","Purpose/Usage","Line No","Intermim Ref No","Last Updated","Last Updater","Maintainer","Year of Birth","Year of Death","Verification Stage","Verification Date","Track Description","Additional Information","OS GRID REF"
"20775418","BGE","0.088","QE","","0.088","3300","","MAV","","435013.0","562966.0","Boldon North Jn [Chaucer Ave] NE34 9JH","HEJ8","","","","","","","","","","","20775418","2022-08-18","","NRAIL","","","","","Rev Goods","Access gate @ 0m40c; Chaucer Avenue; Brockley Whins",""
"20772536","BKS","14.0924","QE","","14.0924","3300","","MAP","","459096.0","398429.0","WADWORTH CARR LC","HEJ3","","","","","","","","","","","20772536","2019-06-11","","NRAIL","","","","","Rev Goods","",""
"20775281","BKS","15.0038","QE","","15.0038","3300","","MAP","","459337.1","399212.5","LONG WALK","HEJ3","","","","","","","","","","","20775281","2021-09-21","","NRAIL","","","","","Rev Goods","","SK 59337 99212"
"20787510","BKS","16.0","QE","","16.0","0","","MAP","","459782.0","400702.0","#20 UP SOUTH YORKSHIRE DOWN","HEJ3","","","","","","","","","","","20787510","2022-08-18","","NRAIL","","","","","All/Multiple Tracks","CTLP Site. Confirm before use.",""
"20775280","BKS","17.0912","QE","","17.0912","3300","","MAP","","460800.0","402798.0","AINTREE AVENUE","HEJ3","","","","","","","","","","","20775280","2021-06-22","","NRAIL","","","","","Rev Goods","SECTIONAL APPX - SECTION 4 PAGE 38. ACCESS RD AINTREE AVE. SECURITY - LOCKED GATE. PARKING - VERY LIMITED. CONDITION - GOOD. NEAREST HOSPITAL - DONCASTER. NEAREST WELFARE - TPW  DONCASTER 20MINS. SAFETY - NO LIGHTING GOOD UNDERFOOT CONDITIONS. PARKING IN BETWEEN HOUSES LIMITED TO 2 VEHICLES.","SE 00608 00028"
"20790511","BKS","18.0374","QE","","18.0374","0","","MAP","","461414.0","403675.0","#29 SANDALL BEAT WOOD","HEJ3","","","","","","","","","","","20790511","2024-05-29","","NRAIL","","","","","All/Multiple Tracks","CTLP Site. Confirm before use.",""
"20772951","BKS","19.022","QE","","19.022","3300","","MAP","","461374.0","405151.0","ARMTHORPE ROAD/BRIDGE","HEJ3","","","","","","","","","","","20772951","2021-06-22","","NRAIL","","","","","Rev Goods","UNAUTHORISED ACCESS POINT WHICH NR MAINTAIN. 07/05/08 CREATING ASSET - AS",""
"20775279","BKS","19.1106","QE","","19.1106","3300","","MAP","","461158.0","405928.0","JOHN PETERS","HEJ3","","","","","","","","","","","20775279","2016-12-07","","NRAIL","","","","","Rev Goods","","SE 00611 00059"
"20775465","BKS","19.1188","QE","","19.1188","3300","","MAP","","461123.2","461123.2","EDENTHORPE","HEJ3","","","","","","","","","","","20775465","2021-06-22","","NRAIL","","","","","Rev Goods","SECTIONAL APPX - SECTION 4 PAGE 38. ACCESS RD - THORNE RD. SECURITY - LOCKED GATE. PARKING - LIMITED. CONDITION - GOOD. SAFETY - NO LIGHTING, STEEP STEPS, LIMITED PARKING ON GRASS VERGE OR SHOPPING CENTRE CAR PARK, NOT SUITABLE FOR MULTI PERSON MANUAL HANDLING. NEAREST HOSPITAL - DONCASTER. NEAREST WELFARE - TPW DONCASTER 15 MINS.","SE 61123 05954"
"20779627","BKS","20.0198","QE","","20.0198","2100","","MAP","","460786.0","406611.0","Barnby Dun Road Bridge 67","HEJ3","","","","","","","","","","","20779627","2017-01-24","","NRAIL","","","","","Down Main/Fast","New access point has been installed to allow safe access to the infrastructure, for bridge strikes.","SE 60706 60000"
"20783267","BKS","16.0","QE","","16.0","3300","","MAV","","459096.0","398429.0","TIN HUT","HEJ3","","","","","","","","","","","20783267","2019-07-02","","NRAIL","","","","","Rev Goods","",""
"20772538","BKS","18.033","QE","","18.033","3300","","MAV","","461420.0","403668.0","SANDAL BEAT WOOD","HEJ3","","","","","","","","","","","20772538","2019-06-11","","NRAIL","","","","","Rev Goods","SECTIONAL APPX SECTION 4 PAGE 38. ACCESS OFF LEDGER WAY AT RACECOURSE BLOOD STOCK & FOLLOW SANDALL BEAT RD THROUGH WOOD. SECURITY-LOCKED GATE. PARKING - DIRT TRACK. CONDITION - GOOD. NEAREST HOSPITAL - DONCASTER. NEAREST WELFARE - DONCASTER TEN POUND WALK <10 MINS>. SAFETY - NO LIGHTING, GOOD UNDERFOOR. CHILDREN""S PLAY AREA VERY NEARBY.","SE 00614 00036"
"20785448","BKS","17.099","QE","","17.099","3300","","MAX","","460847.0","402853.0","CANTLEY LANE","HEJ3","","","","","","","","","","","20785448","2021-06-23","","NRAIL","","","","","Rev Goods"," ",""
"20785449","BKS","20.088","QE","","20.088","3300","","MAX","","460671.0","407193.0","THORNE LANE XING","HEJ3","","","","","","","","","","","20785449","2021-06-23","","NRAIL","","","","","Rev Goods"," ",""
"20794249","BNW","0.006","QE","","0.006","3300","","MAV","","435085.0","562887.0","Boldon East NE34 9JN","HEJ8","","","","","","","","","","","20794249","2024-08-05","","NRAIL","","","","","Rev Goods","Access via Chaucer Avenue along dirt track. What3words: owners.driven.pits","NZ 35085 62887"
