"ELR_ZONE","ELR","ELR_SYSID","ELR_STARTMILES","End Mileage","ELR_DESCRIPTION","ELR_SUBZONE","ELR_DRNMOD","ELR_STATUS"," ELR_INCLUDE","ELR_SMA","ELR_ELECTRIFICATION"
"QE","ABE2","2696","0.0792","0.0858","BARKSTON JNC BARKSTON EAST JNC_(NOW REPLACED BY ABE1 EXTENSION)","HEJ3","","","false","",""
"QE","BCB","89","115.1581","116.0972","BESSACARR JN - BLACK CARR JN","HEJ3","","","false","",""
"QE","BCO","0","0.0000","0.0550","BENTLEY COLLIERY","HEJ2","","","false","",""
"QE","BGE","2708","0.0000","0.1145","BOLDON COLLIERY JN - GREEN LANE JN","HEJ8","","","false","",""
"QE","BKS","2510","14.0221","20.1122","BRANCLIFFE JNC KIRK SANDAL JNC","HEJ3","","","false","",""
"QE","BNE","2710","-0.0004","0.0055","BENTON NORTH JN - EARSDON JN","HEJ8","","","false","",""
"QE","BNJ","0","0.0000","0.0396","BENTLEY COLLIERY NORTH JNC BENTLEY COLLIERY JNC","HEJ2","","","false","",""
"QE","BNW","2711","0.0000","0.0440","BOLDON NEW CURVE : BOLDON EAST JN - BOLDON NORTH JN","HEJ8","","","false","",""
"QE","BNY1","0","1.0418","2.0572","DEAN ROAD SIDINGS - GREEN LANE JN","HEJ8","","","false","",""
"QE","BRC","0","-0.0110","1.0968","CASTLE HILLS N JN - BRODSWORTH COLLIERY","HEJ2","","","false","",""
"QE","BWO1","2817","3.0056","3.0110","ASHINGTON JNC - BUTTERWELL OPEN CAST","HEJ8","","","false","",""
"QE","BWO2","2820","0.0000","1.0002","BUTTERWELL JNC - BUTTERWELL OPEN CAST","HEJ8","","","false","",""
"QE","CBI","6513","0.0815","0.1155","CANAL TUNNEL JUNCTION TO BELL ISLE JUNCTION","HEJ4","","","false","",""
"QE","CFP","36","3.0441","4.0791","CANONBURY WEST JN - FINSBURY PARK","HEJ4","","","false","",""
"QE","CHN","0","0.0000","0.0352","CASTLE HILLS SOUTH LN - WEST JN CURVE","HEJ2","","","false","",""
"QE","CJS","2723","160.0197","166.1540","CARCROFT JN STAINFORTH JNC","HEJ3","","","false","",""
"QE","CLH1","0","0.0000","0.0924","CLIFF HOUSE BRANCH","HEJ8","","","false","",""
"QE","CRF1","37","0.0000","0.0475","FREIGHT TERMINAL JN - COM (KINGS CROSS INCLINE)","HEJ4","","","false","",""
"QE","CTP","3990","66.1340","67.1220","CONNINGTON TIP (OPEN SIDING)","HEJ2","","","false","",""
"QE","CYY","0","0.0000","0.0699","YORK TURNING TRIANGLE","HEJ1","","","false","",""
"QE","DAE1","2840","0.0000","1.0418","DARLINGTON PARKGATE JN - SHILDON SOUTH JN","HEJ1","","","false","",""
"QE","DCF","6323","32.1162","34.0115","DOWN CAMBRIDGE FLYOVER","HEJ4","","","false","",""
"QE","DDY","0","154.0114","155.0220","DONCASTER DOWN YARD","HEJ3","","","false","",""
"QE","DEL","0","-999.0000","999.0000","DELETED RECORDS","","","","false","",""
"QE","DOL1","2860","156.0616","162.1100","DONCASTER MARSHGATE JN - WAKEFIELD 175M 32CH","HEJ3","","","false","",""
"QE","DOW","2728","0.0000","17.1540","DONCASTER WRAWBY","HEJ3","","","false","",""
"QE","DSN1","2884","0.0637","5.0880","DARLINGTON S JN - EAGLESCLIFFE S JN","HEJ1","","","false","",""
"QE","DUY","0","153.1413","155.0735","DONCASTER UP YARD","HEJ3","","","false","",""
"QE","DWY","0","154.1142","155.0178","DONCASTER WOODYARD","HEJ3","","","false","",""
