"Hazard ID","ELR","Start Mileage","Zonecode","BRS","End Mileage","Track ID","IDENTIFIER","Item Code","MAP","Easting","Northing","Local Name","Subzone","Status","Verified","Parent ID","Parent GRP","Photograph File","Position","Condition","Condition Date","Purpose/Usage","Line No","Intermim Ref No","Last Updated","Last Updater","Maintainer","Year of Birth","Year of Death","Verification Stage","Verification Date","Track Description","Additional Information","OS GRID REF"
"20180279","ANS","6.1738","QF","","6.1738","0","","MA","","445000.0","395700.0","ALDWARKE","HFJ4","","","","","","","","","","","20180279","2013-03-25","","NV","","","","","All/Multiple Tracks","SOUTH EAST SIDE OF RAILWAY. S62 5HS.",""
"20776247","AWP","5.0E-4","QF","","5.0E-4","2100","","MAP","","507790.0","428740.0","Anlaby Road Relay Room HU3 2RP","HFJ7","","","","","","","","","Pedestrian Access RR","","20776247","2014-07-10","","NRAIL","","","","","Down Main/Fast","Pedestrian access gate to Anlaby Road Relay Room.  Access from KC Stadium perimeter road, between trees approx 60m to right of double gate <for authorised walking route>.  From within relay room compound, a 2nd gate leads to the Down Cess.  This access point has 2 steps.",""
"20774326","AWP","0.01","QF","","0.01","2100","","MAR","","507844.0","428786.0","Cricket Ground rear of KC Stadium HU3 2RS","HFJ7","","","","","","","","","","","20774326","2015-02-02","","NRAIL","","","","","Down Main/Fast","Off Walton St follow road on RHS of KC Car Park, turn behind KC Stadium. Continue to Double Access Gates 859 Lock wooden road rail deck. Lighting from adjacent Street lights.",""
"20772039","BAC2","152.0022","QF","","152.0022","0","","MA","","444161.0","374013.0","POOLSBROOK LC","HFJ4","","","","","","","","","","","20772039","2013-03-25","","NRAIL","","","","","All/Multiple Tracks","GN7075 CREATING NEW ASSETS 31/10/07 AS. S43 3LA.",""
"20632959","BAC2","152.0396","QF","","152.0396","1100","","MAP","","444434.0","373812.0","SEYMOUR COLLIERY FP","HFJ4","","","","","","","","","","","20632959","2013-03-25","","NRAIL","","","","","Up Main/Fast","MIMS-SX//KB/SC -. S43 3JY",""
"20771580","BAC2","149.1364","QF","","149.1364","3300","","MAV","","441666.0","375261.0","CAVENDISH PLACE","HFJ4","","","","","","","","","","","20771580","2013-03-25","","NRAIL","","","","","Rev Goods","GN5887 NEW ASSETS CREATED FROM ELLIPSE 16/4/07 STC. S43 2NB",""
"20771632","BAC2","150.1232","QF","","150.1232","0","","MAV","","443109.0","375279.0","HALL LANE JN","HFJ4","","","","","","","","","","","20771632","2013-03-25","","NRAIL","","","","","All/Multiple Tracks","GN5887 CREATING NEW ASSETS FROM ELLIPSE 16/4/07 STC. S43 3RW.",""
"20771634","BAC2","151.0462","QF","","151.0462","0","","MAV","","443899.0","375102.0","BELLHOUSE LANE STAVELY","HFJ4","","","","","","","","","","","20771634","2013-03-25","","NRAIL","","","","","All/Multiple Tracks","GN5887 NEW ASSETS CREATED FROM ELLIPSE 17/4/07 STC. S43 3AJ",""
"20772861","BAC2","152.0066","QF","","152.0066","1100","","MAV","","444193.0","373989.0","SEYMOUR JUNCTION","HFJ4","","","","","","","","","","","20772861","2013-03-25","","NRAIL","","","","","Up Main/Fast","12/02/08 CREATING ASSET - AS. S43 3LA.",""
"20181045","BAC2","152.0462","QF","","152.0462","0","","MAV","","444483.0","373778.0","SEYMOUR JCN","HFJ4","","","","","","","","","","","20181045","2013-03-25","","NV","","","","","All/Multiple Tracks","MIMS-S//KB/ - Access Point. Signal Box. Lane to Signalbox off Erin Road. - Not seen during MIMS site visit -. S43 3JY.",""
"20179110","BAC3","153.0308","QF","","153.0308","9999","","MAP","","446878.0","375176.0","ROMELEY","HFJ4","","","","","","","","","","","20179110","2013-03-25","","NV","","","","","Unknown","Access Point. Level Crossing. RT Document: ALARMS. No parking on occupation road. S44 6AL.",""
"20179111","BAC3","153.1298","QF","","153.1298","9999","","MAV","","446070.0","374734.0","WOODTHORPE","HFJ4","","","","","","","","","","","20179111","2013-03-25","","NV","","","","","Unknown","Access Point. Level Crossing. RT Document: ALARMS. No parking on occupation road. S43 3DB.",""
"20771599","BAH2","50.0572","QF","","50.0572","1100","","MAP","","431879.0","408930.0","MILLERS BRIDGE BR27","HFJ4","","","","","","","","","","","20771599","2013-03-25","","NRAIL","","","","","Up Main/Fast","GN5887 NEW ASSETS CREATED FROM ELLIPSE 16/4/07 STC. S75 1LX.",""
"20772045","BAH2","51.0946","QF","","51.0946","2100","","MAP","","433488.0","408107.0","WILTHORPE","HFJ4","","","","","","","","","","","20772045","2013-03-25","","NRAIL","","","","","Down Main/Fast","LEVEL CROSSING. GN7075 CREATING NEW ASSETS 31/10/07 AS. S75 1EG.",""
"20771600","BAH2","52.055","QF","","52.055","1100","","MAP","","434413.0","407340.0","HONEYWELL LANE","HFJ4","","","","","","","","","","","20771600","2013-03-25","","NRAIL","","","","","Up Main/Fast","GN5887 NEW ASSETS CREATED FROM ELLIPSE 16/4/07 STC. S75 1DB.",""
"20771601","BAH2","52.1276","QF","","52.1276","1100","","MAP","","434687.0","406748.0","BARNSLEY STATION  JUNCTION SIGNAL BOX","HFJ4","","","","","","","","","","","20771601","2017-11-01","","NRAIL","","","","","Up Main/Fast","GN5887 NEW ASSETS CREATED FROM ELLIPSE 16/4/07 STC. S71 1LF.",""
"20772041","BAH2","45.1518","QF","","45.1518","0","","MAV","","430224.0","415516.0","CRIGGLESTONE BRIDGE 12","HFJ4","","","","","","","","","","","20772041","2013-03-25","","NRAIL","","","","","All/Multiple Tracks","GN7075 CREATING NEW ASSETS 31/10/07 AS. WF4 3ES.",""
"20771581","BAH2","48.0","QF","","48.0","1100","","MAV","","430027.0","412136.0","HAIGH LANE BR17","HFJ4","","","","","","","","","","","20771581","2013-03-25","","NRAIL","","","","","Up Main/Fast","GN5887 NEW ASSETS CREATED FROM ELLIPSE 16/4/07 STC. S75 4BZ",""
"20771635","BAH2","48.0946","QF","","48.0946","0","","MAV","","430560.0","411450.0","WOOLEY SIDINGS","HFJ4","","","","","","","","","","","20771635","2013-03-25","","NRAIL","","","","","All/Multiple Tracks","GN5887 NEW ASSETS CREATED FROM ELLIPSE 17/4/07 STC. S75 5QS.",""
"20772043","BAH2","49.0638","QF","","49.0638","1100","","MAV","","431150.0","410268.0","DARTON STATION","HFJ4","","","","","","","","","","","20772043","2013-03-25","","NRAIL","","","","","Up Main/Fast","GN7075 CREATING NEW ASSETS 31/10/07 AS. S75 5HX.",""
"20180145","BAR","110.0308","QF","","110.0308","9999","","MA","","502968.0","422536.0","BARTON ON HUMBER STATION","HFJ4","","","","","","","","","","","20180145","2021-01-07","","NRAIL","","","","","Unknown","NORTH SIDE OF RAILWAY  What3Words hugs.reputable.taped","TA 02968 22536"
"20179250","BAR","102.0972","QF","","102.0972","0","","MAP","","511211.0","418144.0","STOTHARDS NO.10A FP","HFJ4","","","","","","","","","","","20179250","2013-02-04","","NRAIL","","","","","All/Multiple Tracks","MIMS-X///KN - Access Point. Level Crossing. RT Document: ALARMS. Access on foot only. No vehicular access or parking.",""
"20775278","BAR","102.0972","QF","","102.0972","0","","MAP","","511211.0","418144.0","STOTHARDS NO.10A FP","HFJ4","","","","","","","","","","","20775278","2013-03-18","","NRAIL","","","","","All/Multiple Tracks","MIMS-X///KN - Access Point. Level Crossing. RT Document: ALARMS. Access on foot only. No vehicular access or parking.",""
"20181049","BAR","103.0088","QF","","103.0088","0","","MAP","","510914.0","418880.0","THORNTON ABBEY STATION","HFJ4","","","","","","","","","","","20181049","2013-02-04","","NRAIL","","","","","All/Multiple Tracks","MIMS-X///KM - Access Point. Station. From A160 Killingholme Roundabout follow signs for east Halton Minor road. Turn left in East Halton, follow minor road pass over level crossing, turn left 50 yds.",""
