"ELR_ZONE","ELR","ELR_SYSID","ELR_STARTMILES","End Mileage","ELR_DESCRIPTION","ELR_SUBZONE","ELR_DRNMOD","ELR_STATUS"," ELR_INCLUDE","ELR_SMA","ELR_ELECTRIFICATION"
"QF","AGY","0","0.0000","0.0589","ATTERCLIFFE GOODS YARD (OPEN SIDING)","HFJ4","","","false","",""
"QF","ANS","2698","6.1499","7.0560","ALDWARKE NORTH (MID) TO ALDWARKE SOUTH (GC)","HFJ4","","","false","",""
"QF","AWP","359","-0.0001","0.0528","ANLABY ROAD JN WEST PARADE NORTH JN","HFJ7","","","false","",""
"QF","BAC2","496","149.0990","152.0462","BARROW HILL NORTH JN TO SEYMOUR JN","HFJ4","","","false","",""
"QF","BAC3","2699","149.0748","155.0161","ELMTON & CRESSWELL JN - SEYMOUR JN","HFJ4","","","false","",""
"QF","BAH1","3998","44.0396","45.1210","HORBURY STN JN - CRIGGLESTON JN","HFJ6","","","false","",""
"QF","BAH2","2702","45.1232","52.1320","CRIGGLESTONE JN - BARNSLEY STN JN","HFJ4","","","false","",""
"QF","BAR","3612","100.0956","110.0418","BARTON BRANCH","HFJ4","","","false","",""
"QF","BBW","293","-0.0002","1.0393","BRADLEY JN BRADLEY WOOD","HFJ6","","","false","",""
"QF","BCE","3999","5.1100","5.1408","BOLSOVER COLLIERY EMPTIES","HFJ4","","","false","",""
"QF","BEC","2706","0.0000","4.0462","BEVERCOTES COLLIERY","HFJ4","","","false","",""
"QF","BEW","2707","46.1237","48.0136","BEIGHTON JN - WOODHOUSE JN","HFJ4","","","false","",""
"QF","BGH","0","0.0000","0.0210","BRAMPTON & GASHOUSE BRANCH","HFJ4","","","false","",""
"QF","BHM","0","149.0619","149.0745","BARROW HILL MOTIVE POWER DEPOT","HFJ4","","","false","",""
"QF","BIB","375","0.0000","0.0383","SHIPLEY BINGLEY JN BRADFORD JN","HFJ6","","","false","",""
"QF","BKS","2510","-0.0004","14.0220","BRANCLIFFE JNC KIRK SANDAL JNC","HFJ4","","","false","",""
"QF","BLC","916","1.0198","4.0242","BLIDWORTH COLLIERY","HFJ4","","","false","",""
"QF","BLJ","2763","161.0450","161.1537","SHEPCOTE LANE EAST JN - BROUGHTON LANE JN","HFJ4","","","false","",""
"QF","BNE","2710","0.0056","2.1166","BENTON NORTH JN - EARSDON JN","HFJ1","","","false","",""
"QF","BNY2","0","2.1188","3.0462","BOLDON NORTH JN FOR BOLDON COLLIERY - BOLDON COLLIERY","HFJ6","","","false","",""
"QF","BOC1","3614","5.0462","7.1320","BOLSOVER COLLIERY","HFJ4","","","false","",""
"QF","BOH","2713","0.0000","0.0968","BOWESFIELD JN - HARTBURN JN","HFJ1","","","false","",""
"QF","BOO","2714","5.1386","6.0374","BOWERS OPENCAST","HFJ7","","","false","",""
"QF","BRI1","2765","99.0479","100.0963","BROCKLESBY JN - ULCEBY NORTH JN","HFJ4","","","false","",""
