"Hazard ID","ELR","Start Mileage","Zonecode","BRS","End Mileage","Track ID","IDENTIFIER","Item Code","MAP","Easting","Northing","Local Name","Subzone","Status","Verified","Parent ID","Parent GRP","Photograph File","Position","Condition","Condition Date","Purpose/Usage","Line No","Intermim Ref No","Last Updated","Last Updater","Maintainer","Year of Birth","Year of Death","Verification Stage","Verification Date","Track Description","Additional Information","OS GRID REF"
"20180472","DEL","0.088","QG","","0.088","3300","","MA","","451561.0","527724.0","Single SOT/0.40 TS25 2BU","HGJ8","","","","","","","","","","","20180472","2024-01-11","","NV","","","","","Rev Goods","MIMS-S//KB/ - By dirt track from main road inside Graythorpe Industrial Estate. - Not seen during MIMS site visit -",""
"20663553","DEL","12.0792","QG","","12.0792","3300","","MA","","432274.0","534798.0","CORNFORTH QUARRY","HGJ8","","","","","","","","","","","20663553","2024-01-11","","JARVIS","","","","","Rev Goods","CORNFORTH QUARRY. Access Point. Level Crossing. RT Document: ALARMS. ",""
"20178955","DEL","15.132","QG","","15.132","9999","","MA","","427618.0","582941.0","Bedlington South Signalbox","HGJ8","","","","","","","","","","","20178955","2024-01-10","","NV","","","","","Unknown","Private Road. Authorised walking routes",""
"20178943","DEL","33.1518","QG","","33.1518","0","","MA","","470162.0","519610.0","CRAG HALL SIGNAL BOX","HGJ8","","","","","","","","","","","20178943","2024-01-10","","NV","","","","","All/Multiple Tracks","Private Road. ACROSS RUNNING LINE",""
"20626912","DEL","0.011","QG","","0.011","2100","","MAP","","442999.0","522084.0","Norton on Tees West TS20 1SP","HGJ8","","","","","","","","","","","20626912","2024-01-11","","NRAIL","","","","","Down Main/Fast","MIMS-S//JM/ - ",""
"20783327","DEL","0.0269","QG","","0.0269","3100","","MAP","","400035.0","453012.0","SKS2-1 Skipton Road","HGJ6","","","","","","","","","Predestrian","","20783327","2024-01-12","","NRAIL","","","","","Rev Main/Fast","Access gate secured via 859 railway padlock leading to concrete access steps onto trackside. The steps are located to the immediate side of SKS2-1 Skipton Road railway bridge on the high mileage side.","SE 00035 53012"
"20615576","DEL","0.029","QG","","0.029","3100","","MAP","","450216.0","520356.0","Guisborough Jcn TS3 6AG","HGJ8","","","","","","","","","","","20615576","2024-01-11","","NRAIL","","","","","Rev Main/Fast","MIMS-S//PH/ - ",""
"20626904","DEL","0.0497","QG","","0.0497","2100","","MAP","","442736.0","522345.0","Norton West TS19 9JX","HGJ8","","","","","","","","","","","20626904","2024-01-11","","NRAIL","","","","","Down Main/Fast","MIMS-S//JM/ - ",""
"20180103","DEL","0.0572","QG","","0.0572","2100","","MAP","","461242.0","431836.0","Selby West Curve YO8 9TY","HGJ7","","","","","","","","","","","20180103","2024-01-10","","NRAIL","","","","","Down Main/Fast","MIMS-SX//DE/MM - A RIGHT OF WAY AT ALL TIME WITH OR WITHOUT VEHICLES OVER A NEW ROADWAY NOT LESS THAN 15 WIDE FROM WESTBOUNE ROAD BETWEEN THE POINTS MARKED A + B TO THE EXISTING RAILWAY LINESIDE FENCE. NOT SEEN ON STAGE1 SITE VISIT. - Not seen on SERCO",""
"20775197","DEL","0.0868","QG","","0.0868","2100","","MAP","","482736.0","428582.0","Gilberdyke Junction HU15 2TN","HGJ7","","","","","","","","","Pedestrian","","20775197","2024-01-11","","NRAIL","","","","","Down Main/Fast","","SE 82736 28582"
"20775123","DEL","0.0974","QG","","0.0974","0","","MAP","","448413.0","427000.0","Burton Salmon LC WF11 9EF","HGJ7","","","","","","","","","Pedestrian","","20775123","2024-01-11","","NRAIL","","","","","All/Multiple Tracks","","SE 48413 27000"
"20774004","DEL","0.1633","QG","","0.1633","1100","","MAP","","458394.0","452218.0","Landing Lane BR4 YO26 4RH","HGJ9","","","","","","","","","Pedestrian","","20774004","2024-01-11","","NRAIL","","","","","Up Main/Fast","Off A59 For Clifton, immediate right over Railway Bridge. SE582523.",""
"20767228","DEL","1.121","QG","","1.121","2100","","MAP","","426909.0","565130.0","Heaton South Junction NE6 5NP","HGJ8","","","","","","","","","","","20767228","2024-01-11","","NRAIL","","","","","Down Main/Fast","Access gate on Guildford Place, Heaton. Single gate, 859 lock.",""
"20178950","DEL","1.1672","QG","","1.1672","1100","","MAP","","427781.0","586148.0","NORTH SEATON SB TOILET & OIL STORE NE63 8TD","HGJ8","","","","","","","","","","","20178950","2024-01-10","","NRAIL","","","","","Up Main/Fast","Private Road. ELECTRICAL CUBICLE",""
"20775467","DEL","2.0132","QG","","2.0132","1100","","MAP","","457058.0","402662.0","SPROTBOROUGH","HGJ3","","","","","","","","","","","20775467","2019-02-27","","NRAIL","","","","","Up Main/Fast","","SE 56546 03902"
"20775200","DEL","2.038","QG","","2.038","1100","","MAP","","480475.0","426990.0","North Linton Farm DN14 7TU","HGJ7","","","","","","","","","Pedestrian","","20775200","2024-01-12","","NRAIL","","","","","Up Main/Fast","","SE 80475 26990"
