"Motor Vehicle Movements from Level Crossing",20529541
"Possible Asbestos in All Rooms",20529546
"Battery Acid in Battery Store",20529548
"Possible Noise from Diesel Generator Room",20529555
"Possible Gas Services to Adjacent Power Signal Box",20529557
"Possible Sewer Service to Adjacent Power Signal Box",20529560
"Overhead Line Equipment Adjacent to Building",20529563
"Battery Acid in Battery Room",20529570
"Running Lines Adjacent to Relay Room",20529572
"Train Movements Adjacent to Relay Room",20529574
"Overhead Line Equipment 5m North of cabin",20529580
"Rats Bait tube observed in equipment room",20529585
"Train Movements 4m south of REB",20529588
"Motor Vehicle Movements from Level Crossing",20529589
"Motor Vehicle Movements from Level Crossing",20529594
"Possible Lead Paint on Staircase to South Building",20529597
"Running Lines",20529600
"Third Rail Access to Ground Floor",20529601
"Fragile Roof Glazing",20529603
"Overhead Line Equipment Adjacent to Building",20529609
"Possible Asbestos Inside Cabin",20529613
"Running Lines Adjacent to Building",20529615
"Train Movements Adjacent to Building",20529617
"Running Lines Adjacent to Relay Room",20529622
"Train Movements Adjacent to Relay Room",20529624
"Train Movements Adjacent to REB",20529628
"Running Lines Adjacent to REB",20529635
"Motor Vehicle Movements from Level Crossing",20529637
"Sewage Adjacent toilet",20529640
"Train Movements Single bi-directional line",20529643
"Overhead Line Equipment",20529648
"Gas Pipe North Elevation",20529650
"Contaminated Site - Other. Running Lines",20153649
"Contaminated Site - Other. Running Lines",20153651
"Contaminated Site - Other. Motor Vehicle Movements from Level Crossing",20153653
"Contaminated Site - Other. Train Movements",20153656
"Contaminated Site - Other. Motor Vehicle Movements from Station Road / Car Park",20153657
"Contaminated Site - Other. Motor Vehicle Movements from Level Crossing",20153660
"Overhead Line Electrification.",20153664
"Contaminated Site - Other. Train Movements",20153665
"Contaminated Site - Other. Running Lines",20153667
"Contaminated Site - Other. Motor Vehicle Movements from Level Crossing",20153669
"Contaminated Site - Other. Train Movements",20153671
"Contaminated Site - Other. Train Movements",20153674
"Contaminated Site - Other. Running Lines",20153676
"Contaminated Site - Other. Motor Vehicle Movements from Level Crossing",20153678
"Contaminated Site - Other. Running Lines",20153680
"Contaminated Site - Other. Running Lines",20153682
"Contaminated Site - Other. Running Lines",20153684
"Contaminated Site - Other. Train Movements",20153685
