"Hazard ID","ELR","Start Mileage","Zonecode","BRS","End Mileage","Track ID","IDENTIFIER","Item Code","MAP","Easting","Northing","Local Name","Subzone","Status","Verified","Parent ID","Parent GRP","Photograph File","Position","Condition","Condition Date","Purpose/Usage","Line No","Intermim Ref No","Last Updated","Last Updater","Maintainer","Year of Birth","Year of Death","Verification Stage","Verification Date","Track Description","Additional Information","OS GRID REF"
"70260052","ACR","56.049","QK","","56.049","2100","","MAP","","601379.0","142006.0","Ashford-Carriage Sidings","HKJ6","","","","","","","","","","","70260052","2020-11-04","","BBRM","","","","","Down Main/Fast","Risk Rating 3, Hazard Rating 3,Score 9.",""
"110147175","ACR","56.14","QK","","56.14","9999","","MAP","","","","WILLESBOROUGH SUBSTATION","HKJ6","","","","","","","","","","","110147175","2011-05-16","","NRAIL","","","","","Unknown","Address:Hythe Rd, Ashford:TN24 0DZ Details: Gate at site of old LC",""
"70260054","ACR","56.1452","QK","","56.1452","2100","","MAP","","602149.0","141966.0","Ashford-Carriage Sidings","HKJ6","","","","","","","","","","","70260054","2008-09-08","","BBRM","","","","","Down Main/Fast","Risk Rating 3, Hazard Rating 2,Score 6",""
"70200802","ACR","56.1595","QK","","56.1595","1100","","MAP","","602208.0","142084.0","Ashford/Wye-Osbourne Road Bridge 1859B","HKJ6","","","","","","","","","","","70200802","2008-09-08","","BBRM","","","","","Up Main/Fast","Risk Rating 4, Hazard Rating 3,Score 12",""
"70260055","ACR","56.1606","QK","","56.1606","2100","","MAP","","602211.0","142094.0","Ashford-Carriage Sidings","HKJ6","","","","","","","","","","","70260055","2008-09-08","","BBRM","","","","","Down Main/Fast","Risk Rating 3, Hazard Rating 3,Score 9",""
"70200803","ACR","57.0247","QK","","57.0247","2100","","MAP","","602312.0","142446.0","Ashford/Wye-Hythe Road Bridge 1860","HKJ6","","","","","","","","","","","70200803","2008-09-08","","BBRM","","","","","Down Main/Fast","Risk Rating 6, Hazard Rating 3,Score 18",""
"70260056","ACR","58.0044","QK","","58.0044","1100","","MAP","","602804.0","143770.0","Ashford/Wye-Willesborough Rd Bridge 1864/1864A","HKJ6","","","","","","","","","","","70260056","2008-09-08","","BBRM","","","","","Up Main/Fast","Risk Rating 3, Hazard Rating 3,Score 9",""
"110147069","ACR","58.0286","QK","","58.0286","2100","","MAP","","602908.0","143962.0","KENNINGTON TPH ASHFORD TP HUT","HKJ6","","","","","","","","","","","110147069","2022-08-19","","NRAIL","","","","","Down Main/Fast","Address:Willesborough Rd, Ashford:TN24 9SD Details: Network Rail Gate, off Willesborough Road, Bridge No 1864A @ 58m 03c Then along cess to site",""
"110181642","ACR","58.0814","QK","","58.0814","2100","","MAP","","603180.0","144364.0","CRADLE BRIDGE","HKJ6","","","","","","","","","","","110181642","2022-11-11","","NRAIL","","","","","Down Main/Fast","",""
"110181482","ACR","58.0814","QK","","58.0814","1100","","MAP","","603180.0","144364.0","CRADLE BRIDGE","HKJ6","","","","","","","","","","","110181482","2022-11-11","","NRAIL","","","","","Up Main/Fast","",""
"110181635","ACR","58.1166","QK","","58.1166","2100","","MAP","","603352.0","144636.0","BOLLEAUX","HKJ6","","","","","","","","","","","110181635","2022-11-11","","NRAIL","","","","","Down Main/Fast","",""
"110181475","ACR","58.1166","QK","","58.1166","1100","","MAP","","603352.0","144636.0","BOLLEAUX","HKJ6","","","","","","","","","","","110181475","2022-11-11","","NRAIL","","","","","Up Main/Fast","",""
"110181488","ACR","58.1364","QK","","58.1364","1100","","MAP","","604449.0","144790.0","EAST MOUNTAIN","HKJ6","","","","","","","","","","","110181488","2022-11-11","","NRAIL","","","","","Up Main/Fast","",""
"110181648","ACR","58.1364","QK","","58.1364","2100","","MAP","","604449.0","144790.0","EAST MOUNTAIN","HKJ6","","","","","","","","","","","110181648","2022-11-11","","NRAIL","","","","","Down Main/Fast","",""
"110181490","ACR","59.0088","QK","","59.0088","1100","","MAP","","603685.0","145163.0","GOLDEN BALL","HKJ6","","","","","","","","","","","110181490","2022-11-11","","NRAIL","","","","","Up Main/Fast","",""
"110181650","ACR","59.0088","QK","","59.0088","2100","","MAP","","603685.0","145163.0","GOLDEN BALL","HKJ6","","","","","","","","","","","110181650","2022-11-11","","NRAIL","","","","","Down Main/Fast","",""
"110181521","ACR","59.044","QK","","59.044","1100","","MAP","","603858.0","145435.0","WILMINGTON FARM","HKJ6","","","","","","","","","","","110181521","2022-11-11","","NRAIL","","","","","Up Main/Fast","",""
"110181681","ACR","59.044","QK","","59.044","2100","","MAP","","603858.0","145435.0","WILMINGTON FARM","HKJ6","","","","","","","","","","","110181681","2022-11-11","","NRAIL","","","","","Down Main/Fast","",""
"110181510","ACR","59.1034","QK","","59.1034","1100","","MAP","","604148.0","145894.0","SPRING GROVE","HKJ6","","","","","","","","","","","110181510","2022-11-11","","NRAIL","","","","","Up Main/Fast","",""
"110181670","ACR","59.1034","QK","","59.1034","2100","","MAP","","604148.0","145894.0","SPRING GROVE","HKJ6","","","","","","","","","","","110181670","2022-11-11","","NRAIL","","","","","Down Main/Fast","",""
"110147005","ACR","59.132","QK","","59.132","0","","MAP","","604349.0","146224.0","WYE SUBSTATION","HKJ6","","","","","","","",""," Kenton incident report","","110147005","2023-10-31","","NRAIL","","","","","All/Multiple Tracks","Address:Harville Rd, Wye:TN25 5EY Details: Wye Station, Level Crossing, @ 60m 28c Then along cess to site.",""
"110147006","ACR","59.1453","QK","","59.1453","0","","MAP","","604144.0","145910.0","WYE SUBSTATION","HKJ6","","","","","","","","","","","110147006","2023-10-31","","NRAIL","","","","","All/Multiple Tracks","Address:Harville Rd, Wye:TN25 5EY Details: Wye Station, Level Crossing, @ 60m 28c Then along cess to site.",""
"110181492","ACR","60.0132","QK","","60.0132","1100","","MAP","","604570.0","146560.0","HARVILLE FARM","HKJ6","","","","","","","","","","","110181492","2022-11-11","","NRAIL","","","","","Up Main/Fast","",""
"110181652","ACR","60.0132","QK","","60.0132","2100","","MAP","","604570.0","146560.0","HARVILLE FARM","HKJ6","","","","","","","","","","","110181652","2022-11-11","","NRAIL","","","","","Down Main/Fast","",""
"110181522","ACR","60.0616","QK","","60.0616","1100","","MAP","","604803.0","146936.0","WYE","HKJ6","","","","","","","","","","","110181522","2022-11-11","","NRAIL","","","","","Up Main/Fast","",""
"110181682","ACR","60.0616","QK","","60.0616","2100","","MAP","","604803.0","146936.0","WYE","HKJ6","","","","","","","","","","","110181682","2022-11-11","","NRAIL","","","","","Down Main/Fast","",""
"70200804","ACR","60.0775","QK","","60.0775","2100","","MAP","","604865.0","147069.0","Wye-Signal Box","HKJ6","","","","","","","","","","","70200804","2008-09-08","","BBRM","","","","","Down Main/Fast","Risk Rating 3, Hazard Rating 3,Score 9",""
"110181509","ACR","60.1628","QK","","60.1628","1100","","MAP","","605152.0","147789.0","SPARROW BRIDGE","HKJ6","","","","","","","","","","","110181509","2022-11-11","","NRAIL","","","","","Up Main/Fast","",""
"110181669","ACR","60.1628","QK","","60.1628","2100","","MAP","","605152.0","147789.0","SPARROW BRIDGE","HKJ6","","","","","","","","","","","110181669","2022-11-11","","NRAIL","","","","","Down Main/Fast","",""
"110147068","ACR","61.0721","QK","","61.0721","9999","","MAP","","605510.0","148611.0","BILTING TPH WYE TP HUT","HKJ6","","","","","","","","","","","110147068","2023-10-31","","NRAIL","","","","","Unknown","Address:Canterbury Rd, Bilting, Ashford:TN25 5EW Details: Bilting Occupation Crossing, @ 61m 64.5c near Wye Then along cess to site.",""
"110181634","ACR","61.0836","QK","","61.0836","2100","","MAP","","605485.0","148613.0","BILTING GRANGE","HKJ6","","","","","","","","","","","110181634","2022-11-11","","NRAIL","","","","","Down Main/Fast","",""
"110181474","ACR","61.0836","QK","","61.0836","1100","","MAP","","605485.0","148613.0","BILTING GRANGE","HKJ6","","","","","","","","","","","110181474","2022-11-11","","NRAIL","","","","","Up Main/Fast","",""
"110181633","ACR","61.143","QK","","61.143","2100","","MAP","","605701.0","149108.0","BILTING","HKJ6","","","","","","","","","","","110181633","2022-11-11","","NRAIL","","","","","Down Main/Fast","",""
"110181473","ACR","61.143","QK","","61.143","1100","","MAP","","605701.0","149108.0","BILTING","HKJ6","","","","","","","","","","","110181473","2022-11-11","","NRAIL","","","","","Up Main/Fast","",""
"110181637","ACR","61.154","QK","","61.154","2100","","MAP","","605747.0","149197.0","BUCKWELL","HKJ6","","","","","","","","","","","110181637","2022-11-11","","NRAIL","","","","","Down Main/Fast","",""
"110181477","ACR","61.154","QK","","61.154","1100","","MAP","","605747.0","149197.0","BUCKWELL","HKJ6","","","","","","","","","","","110181477","2022-11-11","","NRAIL","","","","","Up Main/Fast","",""
"70260057","ACR","62.1716","QK","","62.1716","1100","","MAP","","606775.0","150636.0","Wye-Godmersham Road  Bridge 1883","HKJ6","","","","","","","","","","","70260057","2008-09-08","","BBRM","","","","","Up Main/Fast","Risk Rating 4, Hazard Rating 3,Score 12",""
"110147179","ACR","63.0132","QK","","63.0132","1100","","MAP","","606864.0","150769.0","GODMERSHAM SUBSTATION","HKJ6","","","","","","","","","","","110147179","2023-10-31","","NRAIL","","","","","Up Main/Fast","Address:Eggerton Lane, Godmersham:CT4 7DR Details: Network Rail Gate, off Eggarton Lane, Godmersham Up steps and over lines to site.  Please note the stairs are not suitable for carrying a stressing kit as they are not wide enough.",""
"70200806","ACR","63.1238","QK","","63.1238","2100","","MAP","","607494.0","151561.0","Wye/Chilham-Pope Street Bridge 1886","HKJ6","","","","","","","","","","","70200806","2008-09-08","","BBRM","","","","","Down Main/Fast","Risk Rating 4, Hazard Rating 2,Score 8",""
"110158907","ACR","64.0726","QK","","64.0726","1100","","MAP","","607520.0","152665.0","Sandy Lane Bridge 1889","HKJ6","","","","","","","","","","","110158907","2017-11-09","","NRAIL","","","","","Up Main/Fast","","TR 07520 52665"
"70200807","ACR","64.1301","QK","","64.1301","2100","","MAP","","607486.0","153184.0","Chilham TP Hut","HKJ6","","","","","","","","","","","70200807","2011-05-17","","BBRM","","","","","Down Main/Fast","Address:Ashford Rd, Chilham:CT4 7DG Details: Network Rail Gate, off Ashford Road, Chilham @ 64m 59c Then pathway to site. ~ Risk Rating 6, Hazard Rating 3,Score 18",""
"110158906","ACR","64.1374","QK","","64.1374","2100","","MAP","","607503.0","153253.0","Wye/Chilham-Chilham CSR Mast","HKJ6","","","","","","","","","","","110158906","2017-04-03","","BBRM","","","","","Down Main/Fast","Risk Rating 6, Hazard Rating 2,Score 12",""
"110158909","ACR","64.1661","QK","","64.1661","2100","","MAP","","607628.0","153504.0","Chilham Mill Level Crossing CE","HKJ6","","","","","","","","","","","110158909","2017-04-03","","NRAIL","","","","","Down Main/Fast","","TR 07628 53504"
"110162206","ACR","64.1661","QK","","64.1661","1100","","MAP","","607628.0","153504.0","Chilham Mill Level Crossing LE","HKJ6","","","","","","","","","","","110162206","2017-11-09","","NRAIL","","","","","Up Main/Fast","","TR 07628 53504"
"110181479","ACR","64.1672","QK","","64.1672","1100","","MAP","","607622.0","153496.0","CHILHAM MILL","HKJ6","","","","","","","","","","","110181479","2022-11-11","","NRAIL","","","","","Up Main/Fast","",""
"110181639","ACR","64.1672","QK","","64.1672","2100","","MAP","","607622.0","153496.0","CHILHAM MILL","HKJ6","","","","","","","","","","","110181639","2022-11-11","","NRAIL","","","","","Down Main/Fast","",""
"110158908","ACR","64.1683","QK","","64.1683","1100","","MAP","","607628.0","153504.0","Chilham Mill Level Crossing CE","HKJ6","","","","","","","","","","","110158908","2017-04-03","","NRAIL","","","","","Up Main/Fast","","TR 07628 53504"
"110158910","ACR","64.1683","QK","","64.1683","2100","","MAP","","607628.0","153504.0","Chilham Mill Level Crossing LE","HKJ6","","","","","","","","","","","110158910","2017-04-03","","NRAIL","","","","","Down Main/Fast","","TR 07628 53504"
"110158911","ACR","65.087","QK","","65.087","2100","","MAP","","608342.0","154001.0","Chilham Road Level Crossing LE","HKJ6","","","","","","","","","","","110158911","2017-04-03","","NRAIL","","","","","Down Main/Fast","","TR 08342 54001"
