"ELR_ZONE","ELR","ELR_SYSID","ELR_STARTMILES","End Mileage","ELR_DESCRIPTION","ELR_SUBZONE","ELR_DRNMOD","ELR_STATUS"," ELR_INCLUDE","ELR_SMA","ELR_ELECTRIFICATION"
"QK","ACR","4612","56.0490","85.1496","ASHFORD 'E' JN - RAMSGATE VIA CANTERBURY WEST","HKJ6","","","false","",""
"QK","AGW","4614","0.0000","0.1188","ANGERSTEIN JN - ANGERSTEIN WHARF","HKJ4","","","false","",""
"QK","AHG","4615","2.0969","2.1096","NINE ELMS JN - LINFORD STREET JN.","HKJ5","","","false","",""
"QK","APL","4619","64.1283","74.0088","APPLEDORE JN - LYDD TOWN (GOODS LINE)","HKJ6","","","false","",""
"QK","ATH","4622","56.0347","82.0756","ASHFORD'D' JN - HASTINGS","HKJ5","","","false","",""
"QK","ATL","4630","3.1057","6.1420","PECKHAM RYE (ATLANTIC LINE) - BATTERSEA PARK JN","HKJ5","","","false","",""
"QK","BAY","0","1.0275","1.1386","BRICKLAYERS ARMS BRANCH","HKJ4","","","false","",""
"QK","BBJ","6215","9.1431","11.1408","BALHAM JN - BECKENHAM JN","HKJ5","","","false","",""
"QK","BEX","4649","5.1203","15.0792","ST JOHNS JN - CRAYFORD CREEK JN VIA BEXLEYHEATH","HKJ4","","","false","",""
"QK","BME1","4706","-0.0066","0.0556","MINSTER EAST JN - MINSTER SOUTH JN","HKJ6","","","false","",""
"QK","BME2","4708","82.0401","99.0116","MINSTER SOUTH JN - BUCKLAND JN","HKJ6","","","false","",""
"QK","BMJ","4713","0.1016","1.0374","BLACKFRIARS JN - METROPOLITAN JN","HKJ4","","","false","",""
"QK","BNG","4776","8.1584","10.1034","GROVE PARK JN - BROMLEY NORTH","HKJ4","","","false","",""
"QK","BSF","4785","1.0353","1.1368","BATTERSEA PIER TO FACTORY JUNCTION","HKJ5","","","false","",""
"QK","BSP1","2130","1.0353","1.1295","BATTERSEA PIER JN - LONGHEDGE ""A"" JN VIA STEWARTS LANE","HKJ5","","","false","",""
"QK","BSP2","4786","1.1375","1.1474","LONGHEDGE ""B"" JN - POUPARTS JN","HKJ5","","","false","",""
"QK","BTC","4788","7.0292","8.1355","BLACKHEATH JN - CHARLTON JN","HKJ4","","","false","",""
"QK","BTH1","6732","1.1074","4.0968","SOUTH BERMONDSEY JN - SUTTON JN","HKJ4","","","false","",""
"QK","CAT","4820","3.0174","10.1609","BRIXTON JN - SHORTLANDS JN (CATFORD LOOP)","HKJ5","","","false","",""
"QK","CBM","2818","-0.0002","0.0836","CANNON STREET - BOROUGH MARKET JN","HKJ4","","","false","",""
"QK","CKL","4838","1.1503","1.1694","CULVERT ROAD JN - LATCHMERE JN","HKJ5","","","false","",""
"QK","CLA9","4841","54.1661","55.0467","CHART LEACON ASHFORD DEPOT (ROADS 10 - 18)","HKJ6","","","false","",""
"QK","CRA","6324","16.0242","16.0894","CRAYFORD SPUR B JN - CRAYFORD SPUR A JN","HKJ4","","","false","",""
"QK","CSM1","4847","11.0710","11.1562","CHISLEHURST JN - ST.MARY CRAY (REVERSABLE CHATHAM LOOP)","HKJ5","","","false","",""
"QK","CSM2","6387","11.0707","11.1447","CHISLEHURST JN - HAWKWOOD JN (UP CHATHAM LOOP CHISLEHURST END)","HKJ5","","","false","",""
"QK","CSM3","6388","11.1522","12.0667","HAWKWOOD JN - ST. MARY CRAY JN (UP CHATHAM LOOP)","HKJ5","","","false","",""
