"Hazard ID","ELR","Start Mileage","Zonecode","BRS","End Mileage","Track ID","IDENTIFIER","Item Code","MAP","Easting","Northing","Local Name","Subzone","Status","Verified","Parent ID","Parent GRP","Photograph File","Position","Condition","Condition Date","Purpose/Usage","Line No","Intermim Ref No","Last Updated","Last Updater","Maintainer","Year of Birth","Year of Death","Verification Stage","Verification Date","Track Description","Additional Information","OS GRID REF"
"10566512","ANI1","2.019","QL","","2.019","1100","","MA","","392860.6","808862.2","ABERDEEN A SUBSTATION","HLJ2","","","","","","","","","","","10566512","2024-08-13","","NRQL","","","","","Up Main/Fast","https://what3words.com/hopes.fresh.formed  Address:South College Street,Aberdeen, AB11 6JW:AB11 6JW Details: next to Aberdeen Station, through access gate, off South College Street,Aberdeen, AB11 6JW","NJ 92860 08862"
"10586109","ANI1","6.0476","QL","","6.0476","2100","","MA","","388421.0","812863.0","Dyce Station - GSMR","HLJ2","","","","","","","","","","","10586109","2024-08-13","","NRQL","","","","","Down Main/Fast","https://what3words.com/camp.repair.puncture  New access point signage, end of platform gate and access walkway to cess level at West end of platform 1 towards GSM-R compound.  Refer to following Highlands Enhancements Programme Aberdeen to Inverness drawings: PAP11-116647-BNU-DRG-ECV-001163",""
"10586110","ANI1","8.0102","QL","","8.0102","2100","","MA","","386705.6","814910.9","Pitmedden GSM-R","HLJ2","","","","","","","","","","","10586110","2024-08-13","","NRQL","","","","","Down Main/Fast","https://what3words.com/margin.frizz.factored  New access point lay-by and signage, access to cess via GSM-R compound and walking route at West end.  Refer to following Highlands Enhancements Programme Aberdeen to Inverness drawings: PAP14-116647-BNI-DRG-EHW-001012","NJ 86705 14910"
"10591414","ANI1","19.1316","QL","","19.1316","3400","","MA","","374180.0","824595.0","Harlaw GSMR","HLJ2","","","","","","","","","","","10591414","2024-08-13","","NRQL","","","","","Rev Single","https://what3words.com/vintages.buggy.bench Access to GSMR.",""
"10584488","ANI1","0.0669","QL","","0.0669","3400","","MAP","","393804.3","806360.2","LOWER DENBURN","HLJ2","","","","","","","","","","","10584488","2024-08-13","","NRQL","","","","","Rev Single","https://what3words.com/verge.inner.local.   Pedestrian access via His Majesty""s Theatre staff car park.  Existing palisade gate provides access to the Down Cess at approx ANI1 0m700yds.  Gate adjacent to location cabinets.","NJ 93804 06360"
"10585515","ANI1","2.0174","QL","","2.0174","1100","","MAP","","392871.5","808852.8","Hayton Road UB 293/018 East","HLJ2","","","","","","","","","","","10585515","2024-08-13","","NRQL","","","","","Up Main/Fast","https://what3words.com/trap.pound.result  Hayton Road UB 293/018 East Pedestrian Access Gate is located east of the Pedestrian Subway <UB 293/018> entrance.","NJ 92871 08852"
"10398191","ANI1","2.0186","QL","","2.0186","1100","","MAP","","392860.0","808855.0","HAYTON ROAD, HAYTON EAP4","HLJ2","","","","","","","","","","","10398191","2024-08-13","","NRQL","","","","","Up Main/Fast","https://what3words.com/twig.themes.reward  Node=N028; OS GRID REF NJ9286008855; POSTCODE: AB24 2XB",""
"10585510","ANI1","2.1266","QL","","2.1266","1100","","MAP","","391934.8","809150.0","Great Northern Road UB 293/023 North","HLJ2","","","","","","","","","","","10585510","2024-08-13","","NRQL","","","","","Up Main/Fast","https://what3words.com/chain.liability.silly  Exit A96 Great Northern Road at the junction adjacent to ""The White Horse"" pub, follow the main road to the right and continue to the end of the road.  Follow the public footpath across UB 293/023 to access Pedestrian Access gate for Great Northern Road U","NJ 91934 09149"
"10585511","ANI1","2.127","QL","","2.127","2100","","MAP","","391930.1","809144.4","Great Northern Road UB 293/023 South","HLJ2","","","","","","","","","","","10585511","2024-08-13","","NRQL","","","","","Down Main/Fast","https://what3words.com/plan.spray.caring  Exit A96 Great Northern Road at the junction adjacent to ""The White Horse"" pub, follow the main road to the right and continue to the end of the road to reach Pedestrian Access gate for Great Northern Road UB 293/023 South Authorised Access Point.","NJ 91930 09144"
"10593639","ANI1","3.0192","QL","","3.0192","1100","","MAP","","391311.0","809224.0","Mugiemoss Road OB 293/026","HLJ2","","","","","","","","","","","10593639","2024-08-13","","NRQL","","","","","Up Main/Fast","https://what3words.com/shops.fool.drops",""
