"ELR_ZONE","ELR","ELR_SYSID","ELR_STARTMILES","End Mileage","ELR_DESCRIPTION","ELR_SUBZONE","ELR_DRNMOD","ELR_STATUS"," ELR_INCLUDE","ELR_SMA","ELR_ELECTRIFICATION"
"QL","AFS","0","83.0314","83.0506","AVIEMORE TO FORRES","HLJ2","","","false","",""
"QL","AKE1","0","6.1430","8.0308","ALLOA CO-OP JUNCTION TO KINCARDINE JUNCTION","HLJ3","","","false","",""
"QL","AKE2","0","0.0000","3.1034","KINCARDINE JUNCTION TO KINCARDINE SSEB SIDINGS","HLJ3","","","false","",""
"QL","AMY1","5500","3.1298","4.0352","MARKINCH JN - AUCHMUTY (MARKINCH JN - MILEAGE CHANGE).","HLJ3","","","false","",""
"QL","AMY2","5499","0.0000","1.0154","MARKINCH JN - AUCHMUTY (MILEAGE CHANGE -AUCHMUTY TULLIS RUSSEL SIDINGS)","HLJ3","","","false","",""
"QL","ANI1","5504","0.0000","53.0121","ABERDEEN TO INVERNESS : ABERDEEN STN. - KEITH","HLJ2","","","false","",""
"QL","ANI2","5511","0.0000","30.0885","ABERDEEN TO INVERNESS : FORRES STN. - KEITH","HLJ2","","","false","",""
"QL","ANI3","5517","119.0572","143.0843","ABERDEEN TO INVERNESS : FORRES STN - INVERNESS MILLBURN JN.","HLJ2","","","false","",""
"QL","ANN","5522","39.0949","50.0397","NEWTON JN - MAUCHLINE JN","HLJ4","","","false","",""
"QL","ARG1","6648","0.0000","0.0875","RUTHERGLEN CENTRAL JN-FINNIESTON JN (RUTHERGLEN CENTRAL JN-STRATHCLYDE JN)","HLJ5","","","false","",""
"QL","ARG2","3916","0.0858","4.1628","RUTHERGLEN CENTRAL JN - FINNIESTON JN (STRATHCLYDE JN - FINNIESTON JN)","HLJ5","","","false","",""
"QL","ARH","5527","30.0978","31.0854","ARDROSSAN S BEACH - ARDROSSAN HBR","HLJ4","","","false","",""
"QL","AYH1","5528","0.0000","0.1432","AYR HARBOUR BRANCH (NEWTON JN.  - BRB/ABP BDY 0M936Y - AYR HARBOUR)","HLJ4","","","false","",""
"QL","AYH2","5529","38.1650","39.0841","AYR HARBOUR BRANCH (FALKLAND JN - AYR HARBOUR JCN <THRO'FALKLAND YARD>)","HLJ4","","","false","",""
"QL","AYR1","5532","0.0000","6.1166","GLASGOW - AYR (BRIDGE ST JN - COM PAISLEY GILMOUR STREET)","HLJ5","","","false","",""
"QL","AYR2","5536","6.1605","7.0001","GLASGOW - AYR (COM PAISLEY GILMOUR STREET - ELR CHANGE STONEY BRAE)","HLJ4","","","false","",""
"QL","AYR3","5537","7.0000","23.0000","GLASGOW - AYR (ELR CHANGE STONEY BRAE - ELR CHANGE DALRY)","HLJ4","","","false","",""
"QL","AYR4","5541","22.1759","33.0162","GLASGOW - AYR (ELR CHANGE DALRY - COM BARASSIE JN)","HLJ4","","","false","",""
"QL","AYR5","5545","0.0000","2.0330","GLASGOW - AYR (COM BARASSIE JN.- COM FORMER LOCHGREEN JN)","HLJ4","","","false","",""
"QL","AYR6","5548","35.0110","40.1091","GLASGOW - AYR (COM FORMER LOCHGREEN JN. - AYR STATION)","HLJ4","","","false","",""
"QL","BAK","5550","-0.0051","7.1271","KILMARNOCK STN JN - BARASSIE JN","HLJ4","","","false","",""
"QL","BCH","3948","16.0830","20.0865","DALREOCH JN - BALLOCH STATION (20M857Y) - FORMER BALLOCH PIER STATION","HLJ5","","","false","",""
"QL","BGD","5552","-0.0044","4.0870","ALVES JN - BUFFER STOP (4M870Y) - BURGHEAD SMD","HLJ2","","","false","",""
"QL","BID","5553","0.0000","0.0726","BURNTISLAND DOCK JN-  BRB/FPA BDY BURNTISLAND DOCK","HLJ3","","","false","",""
"QL","BRD","6279","101.1433","102.1376","TERMINUS JN FOR SHIELDS - SHIELDS JN FOR BELLAHOUSTON (BURMA ROAD)","HLJ5","","","false","",""
"QL","BWL","5555","0.0000","0.0924","BOWHILL WASHERY BRANCH","HLJ3","","","false","",""
"QL","BYL","5556","-0.0009","0.1313","DUBBS JN - BYREHILL JN","HLJ4","","","false","",""
"QL","CBD1","5557","0.0000","1.0720","CUMBERNAULD LINE   (GARTCOSH JN - GARNQUEEN NORTH JN)","HLJ5","","","false","",""
