"Hazard ID","ELR","Start Mileage","Zonecode","BRS","End Mileage","Track ID","IDENTIFIER","Item Code","MAP","Easting","Northing","Local Name","Subzone","Status","Verified","Parent ID","Parent GRP","Photograph File","Position","Condition","Condition Date","Purpose/Usage","Line No","Intermim Ref No","Last Updated","Last Updater","Maintainer","Year of Birth","Year of Death","Verification Stage","Verification Date","Track Description","Additional Information","OS GRID REF"
"110179852","ABE1","1.044","QM","","1.044","2100","","MAP","","489051.0","339148.0","Great Gonerby Footpath Crossing","HMJ9","","","","","","","","","","","110179852","2022-09-13","","NRAIL","","","","","Down Main/Fast","Access is gained via public footpath crossing. access is via Occupational lane, It is not advixsed to leave a vehicle at this location.","SK 89051 39148"
"50144483","ABE1","3.088","QM","","3.088","0","","MAP","","490807.0","342113.0","SAND LANE BR7","HMJ9","","","","","","","","","","","50144483","2022-09-06","","NRAIL","","","","","All/Multiple Tracks","On Barkston to Marston Road  Space to park on grass verges near access gates. BRS 9752","SK 90807 42113"
"110179853","ABE1","0.077","QM","","0.077","0","","MAR","","487952.0","338098.0","Thorns Lane","HMJ9","","","","","","","","","","","110179853","2022-09-13","","NRAIL","","","","","All/Multiple Tracks","Access via Thorns Lane, follow access around ACD curve, RRV access is directly onto the ABE1 lines.","SK 87952 38098"
"110186232","ACD","0.0022","QM","","0.0022","1100","","MAP","","487972.0","338021.0","Allington Cord East","HMJ9","","","","","","","","","","","110186232","2024-01-30","","NRAIL","","","","","Up Main/Fast","Access point at Allington CordEast - at the back of A1, Barrowby Thorns Farm, Barrowby, Great Gonerby, South Kesteven, NG32 1EQ. 859 key required to get through gates. Parking for multiple vehicles <upwards of 10 if required>.","SK 87972 38021"
"20771906","AJM1","138.02","QM","","138.02","3400","","MAP","","434894.0","351596.0","Ambergate Station","HMJ9","","","","","","","","","","","20771906","2022-09-06","","NRAIL","","","","","Rev Single","Access via platform ends.","SK 34894 51596"
"110188668","AJM1","138.0484","QM","","145.0066","0","","MAP","","434889.0","351580.0","#105 - Matlock Branch CTLP","HMJ9","","","","","","","","","","","110188668","2024-10-01","","NRAIL","","","","","All/Multiple Tracks","This Access is for the use of CtLP at this approved location. Only authorised users can utilise CtLP and must be on the authorised register before attempting to use at this location: #105 - Matlock Branch CTLP AJM1 between 138.0484 - 145.0066","SK 34889 51580"
"50144487","AJM1","140.013","QM","","140.013","3400","","MAP","","433411.0","354029.0","Whatstandwell Water Works","HMJ9","","","","","","","","","NP","","50144487","2022-09-06","","NRAIL","","","","","Rev Single","Private user crossing. Access gained by prior agreement with Severn Trent Water.  You will need a key from Severn Trent Water. Access is off the A6. Parking and turning available in Severn Trent Compound.  5 Mile Line Diagram Access Point No. 7782.","SK 33411 54029"
"50396568","AJM1","140.0291","QM","","140.0291","3400","","MAP","","433308.0","354135.0","Whatstandwell Station","HMJ9","","","","","","","","","NP","","50396568","2022-09-06","","NRAIL","","","","","Rev Single","Access via platform ends.","SK 33308 54135"
"50144461","AJM1","141.033","QM","","141.033","3400","","MAP","","432418.0","355407.0","Holmesford Cottage","HMJ9","","","","","","","","","NP","","50144461","2022-09-06","","NRAIL","","","","","Rev Single","5 Mile Line Diagrams Access Point No. 7788. Access off A6 to field. No access for road railers. Connects the A6 road across the railway. to Holmesford House and the pumping station adjacent to the river Derwent eastern elevation. Access via steps ""Derby side"" of OB 14 in the public house car park. Steps chippings and ballast 3/4 of length. Barriers at the top of bank only. Parking in car park of Public House only with permission from Landlord. Access down embankment.","SK 32418 55407"
"110180071","AJM1","141.1687","QM","","141.1687","3400","","MAP","","431422.0","355997.0","High Peak Junction Car Park","HMJ9","","","","","","","","","","","110180071","2022-09-22","","NRAIL","","","","","Rev Single","Access is gained via parking in High Peak Junction Car park, this is a pay machine car park so if vehicles are to be left please read terms and conditions of parking in the area. Walk through pedestrain path which leads to AJM1 line, Access gate is on left of footpath before bridge.","SK 31422 55997"
"50144466","AJM1","143.022","QM","","143.022","3400","","MAP","","430257.0","357420.0","Cromford Station","HMJ9","","","","","","","","","NP","","50144466","2022-09-06","","NRAIL","","","","","Rev Single","Access via platform ends.  Parking for approximately 5 vehicles.  No Road Rail Vehicle Access.","SK 30257 57420"
"50144467","AJM1","143.126","QM","","143.126","3100","","MAP","","429811.0","358217.0","Matlock Bath north of Willersley Tnl","HMJ9","","","","","","","","","NP","","50144467","2022-09-22","","NRAIL","","","","","Rev Main/Fast","5 Mile Line Diagrams Access Point No. 7796. Notes: 764 Yards North Portal Council run car park. Access can be gained via the gates at the extreme end of Matlock Bath Station car park at the Derby end for road and pedestrian egress. Pedestrian access on the former up line towards Willersley Tunnel.","SK 29811 58217"
"50396572","AJM1","143.1624","QM","","143.1624","3100","","MAP","","429739.0","358542.0","Matlock Bath Station","HMJ9","","","","","","","","","NP","","50396572","2022-09-06","","NRAIL","","","","","Rev Main/Fast","Pedestrian crossing at the south end of Matlock bath Station providing pedestrian access to the cable cars and Heights of Abraham. Also provides access to North end of Matlock Bath Station and High Tor Tunnels.","SK 29739 58542"
"110165246","AJM1","144.1144","QM","","144.1144","2100","","MAP","","429800.0","359667.0","UB28 Pic Tor Lane","HMJ9","","","","","","","","","Access Point","","110165246","2022-09-06","","NRAIL","","","","","Down Main/Fast","No parking or unloading of tools and materials. This is a pedestrian drop off point only! Nearest parking is at Matlock Railway Station.","SK 29800 59667"
"20771579","AJM1","145.0545","QM","","145.0545","3400","","MAR","","429197.0","360461.0","Derwent Way","HMJ9","","","","","","","","","VEHICLE ACCESS","","20771579","2022-09-06","","NRAIL","","","","","Rev Single","Station car park <Upside> notified as new from Stephen McKinlay MP&I. 16/3/07 RC. gates can not be opened fully due to buffer stops. gate between network rail and heritage railway","SK 29197 60461"
"20771905","AJM1","138.0124","QM","","138.0124","3400","","MAV","","434827.0","351427.0","Newbridge Road off the A6","HMJ9","","","","","","","","","Vehicle Access","","20771905","2022-09-06","","NRAIL","","","","","Rev Single","Access to AJM1 3400 Bi-Directional Line / SPC8 2100 Down Main  Access via Newbridge Road off A6. Private Land. No Road Rail Vehicle access. Parking for up to six vehicles.","SK 34827 51427"
"50144489","AJM1","140.0736","QM","","140.0736","3400","","MAV","","433158.0","354508.0","The Family Tree Cafe","HMJ9","","","","","","","","","Access Point","","50144489","2022-09-06","","NRAIL","","","","","Rev Single","Access via gate situated between the Family Tree Café and the River Bridge just off the A6.  Parking for 2 vehicles.","SK 33158 54508"
"20771578","AJM1","145.0156","QM","","145.0156","1900","","MAV","","429542.0","360302.0","CAWDOR WAY","HMJ9","","","","","","","","","VEHICLE ACCESS","","20771578","2022-09-22","","NRAIL","","","","","Up Siding","Access via Matlock Station Car Park <Up Side>","SK 29542 60302"
"110153250","BBM","16.0845","QM","","16.0845","0","","MAP","","504449.0","249359.0","JOWETT PEDESTRIAN GATE","HMJ8","","","","","","","","","","","110153250","2022-09-06","","NRAIL","","","","","All/Multiple Tracks","Foot access only - to the siding point ends and onto the Branch line.","TL 04449 49359"
"110179855","BBM","16.044","QM","","16.044","0","","MAV","","504335.0","249427.0","Cauldwell Depot","HMJ8","","","","","","","","","","","110179855","2022-09-13","","NRAIL","","","","","All/Multiple Tracks","Access for vehicle is gained via Cauldwell depot, arrangements to be made in advance for access. parking is available for multiple vehicles.","TL 04335 49427"
"110151034","BDH","0.0776","QM","","0.0776","2100","","MAP","","523348.0","186448.0","Brent Curve Old Signal Box","HMJ8","","","","","","","","","","","110151034","2022-09-06","","NRAIL","","","","","Down Main/Fast","Needs steps and handrail","TQ 23348 86448"
"50406149","BDH","0.0358","QM","","0.0358","1100","","MAV","","523132.0","186827.0","Geron Way","HMJ8","","","","","","","","","","","50406149","2022-09-06","","NRAIL","","","","","Up Main/Fast","Danger Overhead Live Wires, no parking at any time. Access via Geron Way <Post Office Sidings>","TQ 23132 86827"
"110163227","BHP","0.022","QM","","0.022","3100","","MAP","","495964.0","371159.0","Rustons Tip","HMJ9","","","","","","","","","Access","","110163227","2022-09-06","","NRAIL","","","","","Rev Main/Fast","Troughing route along cess area on ELR BHP. Access is through scrapyard and over the NOB2. Network Rail Staff have 24 hour access as lock is fitted to gate. Once in the scrapyard there is a UWC with red & green warning lights to highlight when it is safe to cross.","SK 95964 71159"
"110179857","BJW3","20.0286","QM","","20.0286","0","","MAP","","416195.0","312092.0","Waterworks UWC","HMJ9","","","","","","","","","","","110179857","2022-09-13","","NRAIL","","","","","All/Multiple Tracks","RESTRICTED TO LCM ACCESS ONLY. Access is only allowed if permission is granted by the authorised user/landowner, details of which can be obtained via the Route Level Crossing Manager","SK 16195 12092"
