"ELR_ZONE","ELR","ELR_SYSID","ELR_STARTMILES","End Mileage","ELR_DESCRIPTION","ELR_SUBZONE","ELR_DRNMOD","ELR_STATUS"," ELR_INCLUDE","ELR_SMA","ELR_ELECTRIFICATION"
"QM","ABE1","2800","-0.0007","4.0161","ALLINGTON JNC TO FORMER BARKSTON EAST JN (EXTENDED TO REPLACE ABE2)","HMJ9","","","false","",""
"QM","ACD","847","0.0000","0.0551","ALLINGTON EAST JN TO ALLINGTON NORTH JN (ALLINGTON CHORD)","HMJ9","","","false","",""
"QM","ACP","0","142.0845","143.0608","AVENUE COKE PLANT","HMJ9","","","false","",""
"QM","AJM1","2239","137.0923","145.0571","AMBERGATE JN - ROWSLEY (PART CLOSED)","HMJ9","","","false","",""
"QM","AML","2697","-0.0005","0.1367","ATTENBOROUGH JN - MEADOW LANE JN","HMJ9","","","false","",""
"QM","BBM","2544","16.0151","16.1330","BLETCHLEY - BEDFORD MIDLAND","HMJ8","","","false","",""
"QM","BCJ","173","126.0879","127.0420","BIRMINGHAM CURVE JN - BRANSTON JN","HMJ9","","","false","",""
"QM","BDH","524","0.0000","0.1188","BRENT CURVE JN - DUDDING HILL JN","HMJ8","","","false","",""
"QM","BHP","517","0.0000","0.1430","BOULTHAM JN. - PYEWIPE","HMJ9","","","false","",""
"QM","BJW3","851","19.0001","23.0732","RYECROFT JN - WICHNOR JN","HMJ9","","","false","",""
"QM","BPC","6189","130.0402","136.1328","BESTWOOD PARK JN - CALVERTON COLLIERY","HMJ9","","","false","",""
"QM","BSC","2557","0.0000","2.0686","CORBY BSC WORKS - CORBY NORTH","HMJ8","","","false","",""
"QM","CAW","2243","5.0411","5.1584","CRICKLEWOOD CVE JN - ACTON WELLS JN","HMJ8","","","false","",""
"QM","CBI","6513","0.0000","0.0814","CANAL TUNNEL JUNCTION TO BELL ISLE JUNCTION","HMJ8","","","false","",""
"QM","CCB1","0","0.0000","1.1394","RECTORY JN - COTGRAVE COLLIERY","HMJ9","","","false","",""
"QM","CKS1","0","5.0173","6.0456","CRICKLEWOOD UP SIDE SIDINGS","HMJ8","","","false","",""
"QM","CPC","0","132.1682","133.0505","CODNOR PARK CURVE (PART CLOSED)","HMJ9","","","false","",""
"QM","DBP1","2626","0.0004","23.0660","DERBY - KINGSBURY JNC","HMJ9","","","false","",""
"QM","DEL","0","-999.0000","999.0000","DELETED RECORDS","","","","false","",""
"QM","DEX","0","123.1588","126.0998","DERBY EXTENSION (PART CLOSED) INC. COLWICK NTH - GEDLING CLLY. EX NGC2","HMJ9","","","false","",""
"QM","DJW","0","132.1741","142.0180","DUFFIELD JN - WIRKSWORTH INCLINE","HMJ9","","","false","",""
"QM","GRS1","4077","110.0220","112.0000","BARKSTON SOUTH JN - 112MP (GRANTHAM - SKEGNESS)","HMJ9","","","false","",""
"QM","GRS2","4083","112.0000","137.0134","112MP - BOSTON SLEAFORD LINE JN (GRANTHAM - SKEGNESS)","HMJ9","","","false","",""
"QM","GRS3","4090","106.1540","122.0484","BOSTON SLEAFORD LINE JN - FIRSBY EAST JN (GRANTHAM - SKEGNESS)","HMJ9","","","false","",""
"QM","GRS4","4094","0.0000","9.0379","FIRSBY NORTH JN - SKEGNESS","HMJ9","","","false","",""
"QM","GSM1","4015","73.1614","90.0576","KETTERING NORTH JN - MANTON JN","HMJ9","","","false","",""
"QM","GSM2","4018","90.0523","105.1540","MANTON JN - MELTON JN","HMJ9","","","false","",""
"QM","GSM3","4023","103.1643","113.0804","SYSTON SOUTH JUNCTION - MELTON JUNCTION","HMJ9","","","false","",""
"QM","GSM4","4027","105.1538","107.0440","MELTON JUNCTION - NOTTINGHAM","HMJ9","","","false","",""
"QM","JRT1","4034","0.0013","0.0402","CARLTON RD JN (TOTTENHAM LINES) - MORTIMER ST JN","HMJ8","","","false","",""
"QM","JRT2","4035","2.0000","2.0836","MORTIMER ST JN - JUNCTION RD JN","HMJ8","","","false","",""
"QM","KSL","2395","97.0985","127.0009","KNIGHTON SOUTH JN - LEICESTER JN (BURTON)","HMJ9","","","false","",""
"QM","LDB","0","0.0056","0.0217","LUTON - LUTON MIDLAND","HMJ8","","","false","",""
"QM","LED","2423","131.0080","135.1605","LITTLE EATON JN - DENBY","HMJ9","","","false","",""
"QM","LIT","0","0.0091","0.0294","LITCHURCH BRANCH","HMJ9","","","false","",""
"QM","LSN","2430","0.0016","0.0610","LENTON SOUTH JN - LENTON NORTH JN","HMJ9","","","false","",""
"QM","MCL","2436","0.1501","4.0073","MOORGATE - CARLTON RD JN (MOORGATE LINES)","HMJ8","","","false","",""
"QM","MJS1","2441","127.0594","131.0319","MELBOURNE JN - SINFIN - CHELLASTON EAST JCN (PART CLOSED)","HMJ9","","","false","",""
"QM","MJT1","6646","124.0464","125.1225","MANSFIELD JN - RADFORD JN","HMJ9","","","false","",""
"QM","MJT2","3969","125.1210","130.1129","RADFORD JN - TROWELL JN","HMJ9","","","false","",""
"QM","NGC","0","0.0000","0.1352","NETHERFIELD JN - COLWICK NORTH","HMJ9","","","false","",""
"QM","NOB1","3236","-0.0667","32.0662","NOTTINGHAM E JN - LINCOLN 32MP","HMJ9","","","false","",""
"QM","NOB2","3963","30.0000","32.1540","LINCOLN 32MP - COM LINCOLN","HMJ9","","","false","",""
"QM","NOB3","3709","25.0177","41.0554","NOTTINGHAM(41.25) - BARNETBY(12.55) (REVERSE MILEAGE)","HMJ9","","","false","",""
"QM","NOG1","6680","106.0661","125.0554","GRANTHAM - NETHERFIELD JN - NOTTINGHAM (PART CLOSED)","HMJ9","","","false","",""
"QM","NOG2","6695","2.0784","2.1185","NETHERFIELD JNS 2M 35CH - 2M 54CH","HMJ9","","","false","",""
"QM","NSS","3263","1.0881","30.0367","NORTH STAFFORD JN - STOKE JN","HMJ9","","","false","",""
"QM","PBC","0","135.1140","136.1335","PINXTON - BENTINCK COLLIERY","HMJ9","","","false","",""
"QM","PBS1","2481","133.0392","138.1708","IRONVILLE JN - KIRKBY SUMMIT JN","HMJ9","","","false","",""
"QM","PBS2","3201","137.0228","140.0880","KIRKBY SUMMIT JN - MANSFIELD","HMJ9","","","false","",""
"QM","PBS3","3203","140.0879","143.0682","MANSFIELD - LM/ER BOUNDARY","HMJ9","","","false","",""
"QM","PMJ","2488","-0.0056","13.1320","MANTON JN - PETERBOROUGH","HMJ9","","","false","",""
"QM","RAC","1124","125.1203","136.1516","RADFORD JN - KIRKBY LANE END JN","HMJ9","","","false","",""
"QM","RUD","1510","92.0450","92.1091","RUDDINGTON CHORD","HMJ9","","","false","",""
"QM","SEN","1648","0.0000","0.0365","SYSTON EAST JN - SYSTON NORTH JN","HMJ9","","","false","",""
"QM","SFQ","0","0.0000","0.0115","BAGWORTH JUNCTION - STUD FARM QUARRY","HMJ9","","","false","",""
"QM","SNW","3122","1.0704","3.0902","SLEAFORD NORTH JN WEST JNC","HMJ9","","","false","",""
"QM","SPC1","1719","0.0000","50.0000","ST PANCRAS - BEDFORD","HMJ8","","","false","",""
"QM","SPC2","1740","50.0000","64.1716","BEDFORD - WELLINGBOROUGH {SEE ALSO WYM}","HMJ8","","","false","",""
"QM","SPC3","6364","64.1715","95.0836","WELLINGBOROUGH - WIGSTON SOUTH JN","HMJ8","","","false","",""
"QM","SPC4","6209","95.0836","98.1320","WIGSTON SOUTH JN - LEICESTER","HMJ9","","","false","",""
"QM","SPC5","1748","98.1320","118.1320","LEICESTER - RATCLIFFE JN","HMJ8","","","false","",""
"QM","SPC6","1754","118.1319","128.0643","RATCLIFFE JN - SPONDON","HMJ9","","","false","",""
"QM","SPC7","1756","126.0594","128.0496","SPONDON - DERBY LONDON RD JN","HMJ9","","","false","",""
"QM","SPC8","1757","127.1179","147.1507","DERBY LONDON RD JN  - CLAY CROSS S JN","HMJ9","","","false","",""
