"Through the gate behind the cabin in Oakham Depot onto the down platform and then onto the Down Main. W3W - corrects.quest.destiny",110151105
"Badger sett at this location, Ecological risk - lack of awareness could have legal/financial repercussions.",110161906
"To access these signals on the TSN1 you have to join the trackside on the MJT1 @ 124.0868 and drive down the access track",50397906
"Undertrack Crossing with 650v and Signalling cables. Clearance to Top row of ducts from underside of sleeper 920mm. Depth to bottom of chamber 2150mm.",110166591
"Undertrack Crossing with 650v and Signalling cables. Clearance to Top row of ducts from underside of sleeper 920mm. Depth to bottom of chamber 2150mm.",110166592
"Undertrack Crossing with 650v and Signalling cables. Clearance to Top row of ducts from underside of sleeper 900mm. Depth to bottom of chamber 1967mm.",110166593
"Undertrack Crossing with 650v and Signalling cables. Clearance to Top row of ducts from underside of sleeper 900mm. Depth to bottom of chamber 1967mm.",110166594
"ACCESS ALL LINES FROM STATION PLATFORMS. WARNING SSOW PROHIBITED AREA",110179979
"Access via Thorns Lane, follow access around ACD curve, RRV access is directly onto the ABE1 lines.",110179853
"Access is gained via public footpath crossing. access is via Occupational lane, It is not advixsed to leave a vehicle at this location.",110179852
"Vehicle access for an extended length, ample space for multiple parking of vehicles and materials. Access is gained via Britannia Road Car Park. CAUTION; ANPR situated within parking area, ensure access is permitted before using access.",110179854
"Access for vehicle is gained via Cauldwell depot, arrangements to be made in advance for access. parking is available for multiple vehicles.",110179855
"RESTRICTED TO LCM ACCESS ONLY. Access is only allowed if permission is granted by the authorised user/landowner, details of which can be obtained via the Route Level Crossing Manager",110179856
"RESTRICTED TO LCM ACCESS ONLY. Access is only allowed if permission is granted by the authorised user/landowner, details of which can be obtained via the Route Level Crossing Manager",110179857
"Fine Lane LC is a narrow road not suitable for numerous vehicles. Access available to both lines",110179858
"GRP walkway over lines steps to either side. This is a public right of way and there is no parking available. Access is gained through farming fields off Roddige Lane or Sittles Lane. Approximately 200 yards from Br.103",110179859
"Roddige Lane LC is a narrow road not suitable for numerous vehicles. Access available to both lines",110179860
"Access via Dudding Hill SB steps to track side. No parking available pedestrian access only.",110179861
"Pedestrian Access only . Double yellow lines on road. Access via steps down to DBP1 on to Up Tamworth Fast line",110179862
"Access via Shaftesbury Steet. Limited parking at the end of the alleyway on Shaftesbury Street. Majority of the area is double yellow line marked.",110179863
"RESTRICTED TO LCM ACCESS ONLY. Access is only allowed if permission is granted by the authorised user/landowner, details of which can be obtained via the Route Level Crossing Manager",110179864
"RESTRICTED TO LCM ACCESS ONLY. Access is only allowed if permission is granted by the authorised user/landowner, details of which can be obtained via the Route Level Crossing Manager",110179876
"6 Mile Line Diagram Access Point Number 8348. Notes: Loop road from Nottingham, turn right at lights by BRSA Club, right again at roundabout, then first left & through barrier at end of road. Parking for up to 10 vehicles.",110147656
"Access located on Recreation Road. Parking for 20 vehicles. Access to track is via approx. 16 steps down to track.",20772828
"Access to trackside via gates at either side of crossing. Parking at level crossing can be achieved using grass verges. Ensure signage and lighting is clear for other road users to see.",110147688
"Accessed from RTC Business Park, London Road A5194. Gates to PSB are at the far end of the large car park",20772358
"Turning into Parker Centre from Mansfield Roadand drive to the end of the blue roofed industrial units. Double access gates are to the rear of Windmill Garage. Parking for 1-2 vehicles inside gate.",20772359
"What 3 Words - long.flash.kite",110180176
"What 3 Words - vision.folds.curiosity",110180178
"What 3 Words - freed.should.giant",110180179
"What 3 Words - waters.jobs.zooms",110180180
"Access via Trent Cottages off Trent Lane, drive along access road until reaching opening between THL and TSN. W3W hedge.rungs.tracks",110186292
"Multiple steps down to track. Not suitable for carrying heavy or awkward loads down to track. W3W safest.fewer.leaky",110186293
"Pedestrain Access Point - Access gates to track available on each corner of the Level Crossing. Parking available for 2 Vehicles What Three Words sunbeam.fixtures.debate",110183151
"Wilsford Level crossing , parking for vehicles at side of road, note! Please ensure parking a distance beyond the crossing for vehicles to clearly see the road ahead and any warning lights/signs for the crossing.",20772593
"Kelby Lane Level crossing , parking for vehicles at side of road, note! Please ensure parking a distance beyond the crossing for vehicles to clearly see the road ahead and any warning lights/signs for the crossing.",20772594
"Public footpath crossing. access through fields Nearest road is Grantham road for Up Sleaford.",20772596
"Access available to both sides of track via the level crossing.",20634348
