"Hazard ID","ELR","Start Mileage","Zonecode","BRS","End Mileage","Track ID","IDENTIFIER","Item Code","MAP","Easting","Northing","Local Name","Subzone","Status","Verified","Parent ID","Parent GRP","Photograph File","Position","Condition","Condition Date","Purpose/Usage","Line No","Intermim Ref No","Last Updated","Last Updater","Maintainer","Year of Birth","Year of Death","Verification Stage","Verification Date","Track Description","Additional Information","OS GRID REF"
"120000162","AEG","0.0375","QR","","0.0376","3400","","MA","","341156.0","384427.0","Garston Chord","HRJ4","","","","","","","","","Vehicles and Pedestrians","","120000162","2025-09-01","","","","","","","Rev Single","Vehicle Access point gates fitted but in close proximity to the nearest running line.
Any Line Open (ALO must be considered before entering the access gates.
What3Words divide.from.trucks",""
"40496614","AFL","0.0565","QR","","0.0565","3400","","MAV","","336429.0","397576.0","AINTREE","HRJ4","","","","","","","","","AC <ACCESS POINT>","","40496614","2022-02-28","","NRAIL","","","","","Rev Single","OSGR POPULATED FROM MARLIN - SITE SURVEY REQUIRED",""
"40576187","AFL","0.06","QR","","0.06","0","","MAV","","336429.0","397576.0","AINTREE STATION","HRJ4","","","","","","","","","AC <ACCESS POINT>","","40576187","2022-02-28","","NRAIL","","","","","All/Multiple Tracks","VEHICULAR ACCESS ROUTE TO ELECTRICAL SUB STATION PREVIOUSLY ACCESSED VIA STEPS OFF PARK LANE,NOW CLOSED, BY NEED TO ERECT VEHICULAR CRASH BARRIER TO PARK LANE. ACCESS IS NOW OFF DELTIC WAY THRU"" GATES ONTO BOOTLE CURVE. OSGR POPULATED FROM MARLIN. SITE SURVEY REQUIRED",""
"40460077","AHX","0.0052","QR","","0.0052","3911","","MAP","","341006.0","384910.0","ALLERTON JN. S/BOX.  OFF SOUTHMEAD ROAD","HRJ4","","","","","","","","","AC <ACCESS POINT>","","40460077","2022-02-28","","NRAIL","","","","","","OSGR POPULATED FROM MARLIN",""
"110151305","AMJ","0.0347","QR","","0.0347","2100","","MAV","","392897.0","399379.0","RICHMOND STREET","HRJ5","","","","","","","","","VEHICLE ACCESS POINT","","110151305","2021-07-19","","NRAIL","","","","","Down Main/Fast","RICHMOND STREET VEHICLE ACCESS POINT THAT HAS RRV ACCESS CAPABILITY. W3W test.grass.wool","SJ 92858 99371"
"110177956","AYS","1.1175","QR","","1.1175","2901","","MAR","","387369.0","397231.0","ASHBURYS SIDINGS ACCESS","HRJ5","","","","","","","","","AUTHORISED ACCESS POINT","","110177956","2022-05-20","","NRAIL","","","","","","ACCESS TO TRACK FROM ASHUBURYS SIDINGS. PLEASE NOTE Proprietary Moveable <BOGMATS> RRAP equipment TO BE USED IN FOR RRV MOVEMENT. W3W could.humlble.tolls","SJ 87369 97231"
"40410078","BBB","11.1434","QR","","11.1434","3400","","MAP","","372490.0","410350.0","TONGE VIADUCT - NORTH END","HRJ5","","","","","","","","","PEDESTRIAN ACCESS POINT","","40410078","2017-03-23","","NRAIL","","","","","Rev Single","CONFIRMED PEDESTRIAN ACCESS POINT AT THE NORTH END OF TONGE VIADUCT.",""
"40410088","BBB","12.0254","QR","","12.0254","1100","","MAP","","372667.0","410888.0","OLD SCHOOL PEDESTRIAN ACCESS","HRJ5","","","","","","","","","PEDESTRIAN ACCESS POINT","","40410088","2017-03-23","","NRAIL","","","","","Up Main/Fast","PEDESTRIAN ACCESS POINT",""
"40410134","BBB","13.1045","QR","","13.1045","2100","","MAP","","372931.0","413148.0","BROMLEY CROSS STATION","HRJ5","","","","","","","","","PEDESTRIAN ACCESS POINT","","40410134","2017-03-23","","NRAIL","","","","","Down Main/Fast","BROMLEY CROSS PEDESTRIAN ACCESS POINT",""
"40410135","BBB","13.1045","QR","","13.1045","1100","","MAP","","372931.0","413148.0","BROMLEY CROSS STATION","HRJ5","","","","","","","","","PEDESTRIAN ACCESS POINT","","40410135","2017-03-23","","NRAIL","","","","","Up Main/Fast","BROMLEY CROSS STATION PEDESTRIAN ACCESS POINT",""
