"ELR_ZONE","ELR","ELR_SYSID","ELR_STARTMILES","End Mileage","ELR_DESCRIPTION","ELR_SUBZONE","ELR_DRNMOD","ELR_STATUS"," ELR_INCLUDE","ELR_SMA","ELR_ELECTRIFICATION"
"QR","AEG","2335","-0.0080","0.0694","ALLERTON E JN - GARSTON JN (SPEKE-EDGE HILL LINE)(S25)","HRJ4","","","false","",""
"QR","AFL","3296","0.0000","0.0889","SEFTON JCN - METAL BOX SIDING (AINTREE FORK LINE)(A25)","HRJ4","","","false","",""
"QR","AHX","6886","0.0000","0.0972","ALLERTON JN - HUNTS CROSS W JN (ALLERTON CONN.LINE)(A48)","HRJ4","","","false","",""
"QR","AMJ","3485","-0.0019","0.0983","ASHTON MOSS S JN - ASHTON MOSS N JN (ASHTON MOSS CURVE)(A47)","HRJ5","","","false","",""
"QR","AQL","0","240.1743","241.0437","ARCOW QUARRY LINE","HRJ1","","","false","",""
"QR","AYS","7066","1.0662","2.1206","ASHBURY'S YARD SIDINGS","HRJ5","","","false","",""
"QR","BBB","2538","10.0652","24.0206","BOLTON E JN - BLACKBURN BOLTON JN (BOLTON-BLACKBURN LINE)(B37)","HRJ5","","","false","",""
"QR","BBS","3486","1.1596","2.0580","BAMBER BRIDGE SIDINGS","HRJ1","","","false","",""
"QR","BBS1","2900","10.0589","10.1061","BLACKBURN STATION SIDINGS","HRJ1","","","false","",""
"QR","BBS2","2901","10.0367","10.1108","BLACKBURN EAST LANCS SIDINGS","HRJ1","","","false","",""
"QR","BBS3","2902","9.0755","10.0614","BOLTON ROAD GOODS SIDINGS","HRJ1","","","false","",""
"QR","BBS4","3487","9.1219","10.0119","BLACKBURN KINGS STREET SIDINGS","HRJ1","","","false","",""
"QR","BCR","0","16.1507","17.0797","BLACKPOOL CARRIAGE SIDINGS","HRJ1","","","false","",""
"QR","BDS","3492","0.0509","0.0913","SEACOMBE JN - BIDSTON WEST JN (WEST KIRBY - SEACOMBE LINE)(W16) (SDGS ONLY)","HRJ4","","","false","",""
"QR","BEJ","2550","-0.0161","19.0307","EDGELEY JN NO 1 - BUXTON STATION (LNW) (BUXTON BRANCH-LNW)(B58)","HRJ5","","","false","",""
"QR","BEM","6112","-0.0004","0.0952","BIDSTON E JN - BRB/MDHC BDY (B'HEAD N GOODS YARD LINE)(B113)","HRJ4","","","false","",""
"QR","BEN","2551","4.0870","7.0404","BIDSTON E JN - NEW BRIGHTON (B'HEAD PARK-NEW BRIGHTON LINE)(B24)","HRJ4","","","false","",""
"QR","BHI","2554","156.0307","159.0030","BASFORD HALL JN - SYDNEY BR JN (INDEPENDENT LINES)","HRJ5","","","false","",""
"QR","BHI1","2904","156.1452","157.0583","BASFORD HALL INDEPENDENTS","HRJ4","","","false","",""
"QR","BIK","0","0.0000","3.0990","BICKERSHAW COLLIERY BRANCH","HRJ4","","","false","",""
"QR","BPP","3279","-0.0197","0.0530","PHILIPS PARK NO 1 JN - BREWERY SDG JN (MILES PLATTING CONN LINE)(M51)","HRJ5","","","false","",""
"QR","BSJ","855","4.1746","5.0082","BOOTLE JN X-OVER (BOOTLE BCH-SOUTHPORT LINE)(B44)","HRJ4","","","false","",""
"QR","BSN","2908","0.0026","0.1458","STAINTON TO CARLISLE YARD","HRJ1","","","false","",""
"QR","BUX","856","-0.0021","5.0959","BUXTON - BRIGG'S SDGS(HINDLOW)(BUXTON & HIGH PEAK JN LINE NO 1)(B59)","HRJ5","","","false","",""
"QR","CBC1","858","0.0404","74.1618","CARNFORTH NTH JN - BRANSTY (74M 73CH)","HRJ1","","","false","",""
"QR","CBC2","6909","0.0089","12.0106","BRANSTY - MARYPORT (12M 05CH)","HRJ1","","","false","",""
"QR","CBC3","3510","0.0000","27.1078","MARYPORT 0MP - CARLISLE SOUTH JN","HRJ1","","","false","",""
"QR","CCQ1","0","0.0000","5.1352","CHESTER STH JN (CLC) - DEE MARSH E JN","HRJ4","","","false","",""
"QR","CCS1","2912","13.0666","14.1200","ROCK FERRY S JN - BIRKENHEAD WOODSIDE (CHESTER-B'HEAD RLY)(PART CLO)(C17)","HRJ4","","","false","",""
"QR","CCS2","2913","14.1200","15.0883","GREEN LANE JN - CAVENDISH SDGS (CHESTER-B'HEAD RLY)(C17B)(PART MDHC)","HRJ4","","","false","",""
"QR","CDM1","1104","0.0476","8.0013","CASTLEFIELD JN-ALTRINCHAM (CASTLEFIELD-ALTRINCHAM LINE)(C10) (PART CLOSED)","HRJ5","","","false","",""
"QR","CDM2","1112","7.1264","35.0917","ALTRINCHAM - MICKLE TRAFFORD (ALTRINCHAM-CHESTER LINE)(A4)","HRJ5","","","false","",""
"QR","CEC","6862","0.0090","0.0552","CARNFORTH E JN - CARNFORTH STN JN","HRJ1","","","false","",""
"QR","CEH","6339","-0.0021","0.0838","CASTLETON E JN - CASTLETON N JN (CASTLETON NTH FORK LINE)(C74)","HRJ5","","","false","",""
"QR","CGJ1","3513","159.0000","176.0001","CREWE (159MP) - WEAVER JUNCTION","HRJ4","","","false","",""
"QR","CGJ2","3514","176.0000","181.1627","WEAVER JN - WARRINGTON","HRJ4","","","false","",""
"QR","CGJ3","3515","181.1623","185.1077","WARRINGTON - WINWICK JN","HRJ4","","","false","",""
"QR","CGJ4","3516","185.1067","187.1680","WINWICK JN - GOLBORNE JN","HRJ4","","","false","",""
"QR","CGJ5","3517","0.1153","21.1252","GOLBORNE JNC - PRESTON","HRJ1","","","false","",""
"QR","CGJ6","3518","-0.0001","20.1756","PRESTON - LANCASTER","HRJ1","","","false","",""
"QR","CGJ7","2585","0.0000","69.0202","LANCASTER - CARLISLE","HRJ1","","","false","",""
"QR","CHW1","2287","0.0471","17.0482","CHESTER EAST JN - WALTON OLD JN","HRJ4","","","false","",""
"QR","CHW2","3519","17.0454","17.1687","WALTON OLD JNC - WARRINGTON STH JNC","HRJ4","","","false","",""
"QR","CIL","2288","157.1395","158.0553","SALOP GDS JN - CREWE N JN (CHESTER INDEPENDENT LINES)","HRJ4","","","false","",""
"QR","CMD1","1714","-0.0021","8.0880","MACCLESFIELD STN - MLGE CHANGE(HARECASTLE)(MACCLESFIELD-COLWICH LINE)(M3)","HRJ5","","","false","",""
"QR","CMP1","2604","158.0263","182.0956","CREWE NTH JN - EDGELEY JN NO 1 (CREWE-STOCKPORT LINE)(C49)","HRJ5","","","false","",""
"QR","CMP2","2610","182.0802","189.0471","EDGELEY JN NO 1 - MANCHESTER PICCADILLY (STOCKPORT-MANCHESTER LINE)(S42)","HRJ5","","","false","",""
"QR","CNB1","6966","160.1396","168.1159","PEAK FOREST JN - CHINLEY N JN (ROWSLEY-NEW MILLS LINE)(R14)","HRJ5","","","false","",""
"QR","CNB2","6964","-0.0006","0.0628","PEAK FOREST JN - BUXTON JN (BLACKWELL MILLS CURVE)(B69)","HRJ5","","","false","",""
"QR","CNB3","6965","161.0312","164.0814","MILLERS DALE JN - BUXTON CURVE JN (BUXTON BCH(MID))(PART CLOSED)(B57)","HRJ5","","","false","",""
"QR","CNB4","6962","164.0688","165.0268","BUXTON CURVE JN - BUXTON SDGS(BUXTON CURVE)(B71)","HRJ5","","","false","",""
"QR","CNH1","2916","158.0368","178.1473","CREWE NORTH JN - CHESTER EAST JN","HRJ4","","","false","",""
"QR","CNH2","2928","178.1473","179.1225","CHESTER EAST JN - CHESTER SOUTH JN","HRJ4","","","false","",""
"QR","CNH3","2932","179.1221","188.0880","CHESTER SOUTH JN - HOLYHEAD","HRJ4","","","false","",""
"QR","COL","1114","188.0909","190.0619","LONDON RD JN - ORDSALL LANE JN (MSJ&A LINE)(L26)","HRJ5","","","false","",""
"QR","CPI1","6898","7.1619","8.1127","CASTLETON STH JN - CASTLETON NTH JN (CASTLETON STH FORK LINE)(C75)","HRJ5","","","false","",""
"QR","CPI2","6899","8.1066","9.1304","CASTLETON NTH JN - BRADLEY FOLD JN(CASTLETON-BOLTON LINE)(PART CLOSED)(C11)","HRJ5","","","false","",""
"QR","CRR1","3039","0.0196","7.1492","CHESTER WEST JN - HOOTON JN (CHESTER-BIRKENHEAD RLY)(C17)","HRJ4","","","false","",""
"QR","CRR2","3041","7.1472","13.0868","HOOTON JN - ROCK FERRY STN (STH END) (CHESTER-BIRKENHEAD RLY)(C17)","HRJ4","","","false","",""
"QR","CSD","6900","7.1524","8.1347","CASTLETON DEPOT","HRJ5","","","false","",""
"QR","CSG","2304","156.0722","157.1209","CREWE S.S.SOUTH - CREWE S.S.NORTH (UP LINES) - GRESTY LANE NO.1","HRJ4","","","false","",""
"QR","CVS","2305","0.0000","0.0667","CHESTER SOUTH - CHESTER NORTH","HRJ4","","","false","",""
"QR","CWK1","2621","1.1313","3.0001","CANNING ST JN - BIRKENHEAD PARK (MERSEY RLY)(M43)","HRJ4","","","false","",""
"QR","CWK2","3047","3.0000","4.0890","BIRKENHEAD PARK - BIDSTON E JN (B'HEAD PARK-NEW BRIGHTON LINE)(B24)","HRJ4","","","false","",""
"QR","CWK3","2625","4.0872","10.1018","BIDSTON E JCN - WEST KIRBY (WEST KIRBY-SEACOMBE LINE)(B111/W16)","HRJ4","","","false","",""
"QR","CYC","2315","167.0801","168.0741","CHINLEY STH JN - CHINLEY E JN (CHINLEY STH CURVE)(C77)","HRJ5","","","false","",""
"QR","DAP","2316","0.0000","1.0067","DALTON JN - PARK SOUTH JN","HRJ1","","","false","",""
"QR","DAT1","0","183.0228","183.0339","DAT1","HRJ4","","","false","",""
"QR","DEL","0","-999.0000","999.0000","DELETED RECORDS","","","","false","",""
"QR","DJH","2318","11.0191","34.1497","DAISYFIELD JN - HELLIFIELD JN","HRJ1","","","false","",""
"QR","DJO1","2648","4.0228","5.0635","DENTON JN - CROWTHORNE JN (GUIDE BRIDGE JN LINE)(G10)","HRJ5","","","false","",""
"QR","DJO2","2649","0.0602","1.0521","CROWTHORNE JN - ASHTON OA & GB JN (OA & GB LINE)(O2)","HRJ5","","","false","",""
"QR","DSD","2329","0.1586","1.0122","DINTING STH JN - DINTING E JN (GLOSSOP BCH)(G4)","HRJ5","","","false","",""
"QR","DSE","3523","1.0954","31.0454","EDGE HILL JN - MANCHESTER VICTORIA (L,POOL - MANCR EXCH LINE)(L18)","HRJ4","","","false","",""
"QR","EDE","2655","11.0063","11.1023","EDEN VALLEY JN - APPLEBY W JN - WARCOP - KIRKBY STEPHEN","HRJ1","","","false","",""
"QR","EEE","2342","186.1624","187.0351","EARLESTOWN STH JN - EARLESTOWN W JN (WALTON JN - EARLESTOWN LINE)(W4)","HRJ4","","","false","",""
"QR","EHW","0","0.1535","3.0022","EDGE HILL JN-PARK LANE GOODS(WAPPING BRANCH)(E5)(PART SIDINGS)","HRJ4","","","false","",""
"QR","EJN","1101","-0.0142","3.1613","EDGELEY JN NO 2 - NORTHENDEN JN (CHEADLE BCH)(C14)","HRJ5","","","false","",""
"QR","ETC","2284","95.0114","96.0202","EDINBURGH - CARLISLE (CANAL JUNCTION)(PART CLOSED)","HRJ1","","","false","",""
"QR","ETW","0","11.0852","12.0614","ECCLES,TYLDESLEY & WIGAN LINE (ECCLES JN-SPRINGS BCH JN)(PART CLOSED)(E2)","HRJ4","","","false","",""
"QR","EWG","6883","0.0000","0.1392","EDGE HILL JN - WATERLOO GOODS (WATERLOO GOODS BRANCH) (PART SIDINGS)(E4)","HRJ4","","","false","",""
"QR","FCO","2343","12.0328","25.1401","ORMSKIRK - FARINGTON CURVE JN (WALTON JN-PRESTON/FARINGTON CURVE)(W5/F3)","HRJ1","","","false","",""
"QR","FHR1","3057","-0.0018","0.1405","FARINGTON CURVE JN - ENGINE SHED JN","HRJ1","","","false","",""
"QR","FHR2","3058","0.1405","1.0951","ENGINE SHED JN - LOSTOCK HALL JN","HRJ1","","","false","",""
"QR","FHR3","3059","1.0934","2.0222","LOSTOCK HALL JN - BAMBER BRIDGE JN","HRJ1","","","false","",""
"QR","FHR4","7058","2.0222","10.1100","BAMBER BR JN - BLACKBURN STATION W","HRJ1","","","false","",""
"QR","FHR5","3064","10.1092","21.0076","BLACKBURN STATION WEST - GANNOW JN","HRJ1","","","false","",""
