"Hazard ID","ELR","Start Mileage","Zonecode","BRS","End Mileage","Track ID","IDENTIFIER","Item Code","MAP","Easting","Northing","Local Name","Subzone","Status","Verified","Parent ID","Parent GRP","Photograph File","Position","Condition","Condition Date","Purpose/Usage","Line No","Intermim Ref No","Last Updated","Last Updater","Maintainer","Year of Birth","Year of Death","Verification Stage","Verification Date","Track Description","Additional Information","OS GRID REF"
"60095751","ABW","0.055","QS","","0.055","1100","","MAP","","388857.0","250423.0","Cooksholme","HSJ6","","","","","","","","","","","60095751","2021-04-20","","NRAIL","","","","","Up Main/Fast","SO888507-150 Railtrack Cooksholme Crossing. O/A & Private FP crossing. Stiles. <AKA Saddlers> Vehicular from Norton - A44 road. Direct telephone to Norton Jn SB. Access Point ~ Asset amended as per HDB Verification Exercise 23/10/02 AH",""
"50143891","ACW","0.0","QS","","0.0","3400","","MAP","","520968.5","183270.0","Acton Lane Bridge <ACW>","HSJ9","","","","","","","","","NP","","50143891","2021-08-16","","NRAIL","","","","","Rev Single","Nature of Access: Single gate - No.7 padlock - descending steps. First Line Approach and Line Speed: D.C. lines. 45mph.","TQ 20968 83270"
"30109096","ACW","0.005","QS","","0.005","3400","","MAP","","521026.2","183236.9","Action Lane <ACW>","HSJ9","","","","","","","","","NP","","30109096","2021-08-13","","NRAIL","","","","","Rev Single","Status =In Use. Safety Validated =Yes.","TQ 21026 83236"
"110141517","ALC1","0.0132","QS","","0.0132","2100","","MAP","","408665.0","289841.0","ASTON HALL ROAD","HSJ7","","","","","","","","","","","110141517","2019-08-01","","NRAIL","","","","","Down Main/Fast","Access via pedestrian gate on Aston Hall Road between Bridge 1 <ALC1> and Bridge 10 <PBJ> with No 17 padlock. On street parking available in Electric Avenue.",""
"50144436","ALC1","0.066","QS","","0.066","1100","","MAP","","408862.0","290246.0","Lichfield Road","HSJ7","","","","","","","","","NP","","50144436","2018-09-17","","NRAIL","","","","","Up Main/Fast","Access under M6 via a Highway Authority gate <Keys for access are held by Rapid Response for all Emergencies contactable via fault control on 0121 345 6559, Trevor Killworth for planned P-Way work 07810 058251, Trevor Jeffs for Planned S&T work 07810 058238 and Jonathon Kowal for Plant 07810 058398>. Access to track through white metal gate with No.17 padlock via concrete steps and handrail.",""
"110176758","ALC1","1.0503","QS","","1.0503","2100","","MAP","","410083.2","290828.7","Gravelly Hill Stn","HSJ6","","","","","","","","","PED","","110176758","2022-02-16","","NRAIL","","","","","Down Main/Fast","Platform provides access to the Up main/1100 and Down main/2100. Access and egress off platform ends only when an appropriate safe system of work is in place. No access during the day, apart from minor maintenance, carrying light hand tools only. No plant or machinery access during the day unless there is emergency protection.   LAT=52.51527			    LONG=-1.85284			    EAST=410083.2088			     NORTH=290828.7822",""
"50144441","ALC1","2.0198","QS","","2.0198","2100","","MAP","","410742.0","291980.0","Summer Road <Underbridge No. 10>","HSJ6","","","","","","","","","","","50144441","2023-05-31","","NRAIL","","","","","Down Main/Fast","Wooden wicket gate and concrete steps up to lineside. No padlock, gate rotton, steps crumbling and no handrail. No parking area available.",""
"120000012","ALC1","2.023","QS","","2.023","2100","","MAP","","410762.0","292022.0","Erdington, Birmingham","HSJ6","","","","","","","","","Pedestrian Access Gate","","120000012","2025-03-20","","","","","","","Down Main/Fast","W3W:slim.ducks.books - Access Point - Pedestrian - Gated No17 Key Padlock - Steps up to Down Line.",""
"110176759","ALC1","2.0671","QS","","2.0671","2100","","MAP","","411008.3","292321.3","Erdington Stn","HSJ6","","","","","","","","","PED","","110176759","2022-02-16","","NRAIL","","","","","Down Main/Fast","Platforms provides access to the Up main/1100 and Down main/2100. Access and egress off platform ends only when an appropriate safe system of work is in place. No access during the day, apart from minor maintenance, carrying light hand tools only. No plant or machinery access during the day unless there is emergency protection.    LAT=52.52867			    LONG=-1.83915			    EAST=411008.3807			    NORTH=292321.3818",""
"120001273","ALC1","2.1425","QS","","2.1425","1100","","MAP","","411383.0","292905.0","Stonnal Grove","HSJ6","","","","","","","","","Access Point Pedestrian","","120001273","2025-10-27","","","","","","","Up Main/Fast","Gate to Upside in wooden fence, off Stonnal Grove - W3W - economies.worry.pink",""
