"Hazard ID","ELR","Start Mileage","Zonecode","BRS","End Mileage","Track ID","IDENTIFIER","Item Code","MAP","Easting","Northing","Local Name","Subzone","Status","Verified","Parent ID","Parent GRP","Photograph File","Position","Condition","Condition Date","Purpose/Usage","Line No","Intermim Ref No","Last Updated","Last Updater","Maintainer","Year of Birth","Year of Death","Verification Stage","Verification Date","Track Description","Additional Information","OS GRID REF"
"110147477","ACW","0.0318","QT","","0.0318","3400","","MAP","","521155.3","183042.6","Euro Terminal <ACW> & ACTON LANE FS","HTJ8","","","","","","","","","","","110147477","2022-01-28","","NRAIL","","","","","Rev Single","Address:Channel Gate Road, Willesden, London:NW10 8AY Details: Channel Gate Road","TQ 21155 83042"
"110177008","ACW","0.0687","QT","","0.0687","3400","","MAP","","521166.8","182713.5","ACTON CANAL WHARF SB ","HTJ8","","","","","","","","","ACCESS POINT","","110177008","2022-03-09","","NRAIL","","","","","Rev Single","Pedestrian access. Verified as part of the access point project 2021",""
"110177078","ACW","0.0322","QT","","0.0322","3400","","MAV","","521156.9","183038.9","EUROTERMINAL WILLESDEN NO7 JNC","HTJ8","","","","","","","","","ACCESS POINT","","110177078","2022-03-09","","NRAIL","","","","","Rev Single","Vehicle access. Verified as part of the access point project 2021",""
"110147591","BDM","0.0298","QT","","0.0298","2901","","MAP","","537625.1","183421.7","BOW JN 25KV SUBSTATION","HTJ6","","","","","","","","","","","110147591","2022-05-09","","NRAIL","","","","","","Access from Wick Lane Line block required to cross BDM, where old crossing is, or ask Shunters permission before crossing.  Ped access only Verified as part of the access point project 2021",""
"110177831","BDM","0.0321","QT","","0.0321","2903","","MAP","","537590.7","183464.2","THORNTON FIELDS CARRIAGE","HTJ6","","","","","","","","","Access Point","","110177831","2022-05-09","","NRAIL","","","","","","VERIFIED AS PART OF THE ACCESS POINT PROJECT 2021",""
"110150487","BFC","0.0407","QT","","0.0407","1100","","MAP","","613784.2","245280.9","Bacon Factory Curve [IP1 5DL]","HTJ7","","","","","","","","","Pedestrian Access","","110150487","2023-05-31","","NRAIL","","","","","Up Main/Fast","Active from 24/03/14. Safe cess walkway provided along the UP BFC line",""
"110150490","BFC","0.1108","QT","","0.1108","1100","","MAP","","614289.1","245023.0","Bacon Factory Curve [IP1 5BN]","HTJ7","","","","","","","","","Pedestrian Access","","110150490","2023-05-31","","NRAIL","","","","","Up Main/Fast","Active from 24/03/14",""
"110176255","BGK","10.1453","QT","","10.1453","2100","","MA","","536314.8","197077.9","Brimsdown CCTV Down Side","HTJ8","","","","","","","","","HIGHWAY LC ACCESS POINT","","110176255","2022-07-03","","NRAIL","","","","","Down Main/Fast","For RRV access use you must survey in compliance with NR/L2/RMVP/0200 Module P301 and you must have a traffic management plan in accordance with the Street Works Act 1991
For Road Vehicle use you must have a traffic management plan in accordance with the ",""
"110174113","BGK","10.1455","QT","","10.1455","1100","","MA","","536320.2","197079.4","Brimsdown CCTV  UP","HTJ8","","","","","","","","","HIGHWAY LC ACCESS POINT","","110174113","2022-07-03","","NRAIL","","","","","Up Main/Fast","For RRV access use you must survey in compliance with NR/L2/RMVP/0200 Module P301 and you must have a traffic management plan in accordance with the Street Works Act 1991
For Road Vehicle use you must have a traffic management plan in accordance with the ",""
"110176256","BGK","11.1552","QT","","11.1552","2100","","MA","","536423.6","198772.0","Enfield Lock CCTV Down Side","HTJ8","","","","","","","","","HIGHWAY LC ACCESS POINT","","110176256","2022-07-03","","NRAIL","","","","","Down Main/Fast","For RRV access use you must survey in compliance with NR/L2/RMVP/0200 Module P301 and you must have a traffic management plan in accordance with the Street Works Act 1991
For Road Vehicle use you must have a traffic management plan in accordance with the ",""
