"ELR_ZONE","ELR","ELR_SYSID","ELR_STARTMILES","End Mileage","ELR_DESCRIPTION","ELR_SUBZONE","ELR_DRNMOD","ELR_STATUS"," ELR_INCLUDE","ELR_SMA","ELR_ELECTRIFICATION"
"QT","ACW","2535","0.0247","0.0773","ACTON CANAL WHARF TO WILLESDEN","HTJ8","","","false","",""
"QT","ATG","0","9.1155","9.1687","TURNHAM GREEN <LTE BOUNDARY> - GUNNERSBURY JN <SR>","HTJ8","","","false","",""
"QT","AWL","2705","0.0859","0.1073","ACTON EAST - ACTON WELLS JN (ACTON WELLS LINE) (FORMERLY AWB)","HTJ8","","","false","",""
"QT","BDH","524","0.1189","1.0065","BRENT CURVE JN - DUDDING HILL JN","HTJ8","","","false","",""
"QT","BDM","4645","0.0000","1.0000","BOW DEPOT MIDLAND","HTJ6","","","false","",""
"QT","BFC","6401","0.0000","0.1389","Bacon Factory Curve - Europa Jcn to Boss Hall Jn","HTJ7","","","false","",""
"QT","BGK","2709","1.0307","96.1650","BETHNAL GREEN  - KINGS LYNN","HTJ8","","","false","",""
"QT","BKR","7148","7.1442","10.0716","Barking Riverside Railway","HTJ6","","","false","",""
"QT","BOK1","6072","2.0466","5.0183","BROAD STREET - CAMDEN ROAD JN","HTJ8","","","false","",""
"QT","BOK2","6078","-0.0043","5.0215","CAMDEN RD JN - KENSAL GREEN JN","HTJ8","","","false","",""
"QT","BOK3","4777","5.0214","5.1055","KENSAL GREEN JN - WILLESDEN HIGH LEVEL JN","HTJ8","","","false","",""
"QT","BOK4","4779","0.0000","0.1265","WILLESDEN HIGH LEVEL JN - ACTON WELLS JN","HTJ8","","","false","",""
"QT","BOK5","4780","0.1457","3.0858","ACTON WELLS JN <LM> - OLD KEW JN <SR>","HTJ8","","","false","",""
"QT","BRA","2715","17.1562","24.0310","BRAINTREE BRANCH","HTJ7","","","false","",""
"QT","BTE","0","7.1320","8.0242","BARKING TILBURY EAST TO BARKING EAST JCN","HTJ6","","","false","",""
"QT","BWT","4815","7.0110","7.0726","BARKING WEST JN TO BARKING TILBURY LINE JN WEST","HTJ6","","","false","",""
"QT","CAW","2244","5.1585","8.1709","CRICKLEWOOD CVE JN - ACTON WELLS JN","HTJ8","","","false","",""
"QT","CCH","2718","0.0462","40.1169","CAMBRIDGE HAUGHLEY JNC","HTJ8","","","false","",""
"QT","CDY","4831","29.1641","30.0552","CHELMSFORD LOWER YARD (OPEN SIDING)","HTJ7","","","false","",""
"QT","CER","4832","50.1576","51.1080","COLCHESTER GOODS","HTJ7","","","false","",""
"QT","CFP","36","3.0254","3.0440","CANONBURY WEST JN - FINSBURY PARK","HTJ8","","","false","",""
"QT","CHM","917","-0.0014","0.0330","CHANNELSEA NORTH HIGH MEADS","HTJ8","","","false","",""
"QT","CJC","665","4.0808","10.0726","CLAPTON JNC - CHINGFORD","HTJ8","","","false","",""
"QT","CNS","6176","0.1487","1.0363","CARPENTERS ROAD NORTH TO CARPENTERS ROAD SOUTH","HTJ6","","","false","",""
"QT","COC","608","51.1674","69.1260","COLCHESTER - CLACTON","HTJ7","","","false","",""
"QT","CRC1","4844","5.0183","5.0496","CAMDEN ROAD JN - CAMDEN JN","HTJ8","","","false","",""
"QT","CRC2","2619","5.0496","5.0920","CAMDEN ROAD JN - CAMDEN JN","HTJ8","","","false","",""
"QT","CRF1","37","0.0476","0.0867","FREIGHT TERMINAL JN - COM (KINGS CROSS INCLINE)","HTJ8","","","false","",""
"QT","CRF2","7163","4.0992","4.1409","COM - CAMDEN ROAD EAST JN","HTJ8","","","false","",""
"QT","CRS","919","42.1538","46.0933","SHERINGHAM - CROMER","HTJ7","","","false","",""
"QT","CST","920","0.0000","0.0630","CARPENTERS ROAD NORTH JNC STRATFORD CENTRAL JNC WEST","HTJ6","","","false","",""
"QT","CTH","6888","-0.0001","0.0496","COLNE JNC TO HYTHE JNC","HTJ7","","","false","",""
"QT","DEL","0","-999.0000","999.0000","DELETED RECORDS","","","","false","",""
"QT","DOC","6081","96.1055","97.0068","KINGS LYNN DOCK","HTJ8","","","false","",""
"QT","DWW1","6082","1.1049","2.0466","DALSTON W JN - WOOLWICH (DALSTON JN - NAVARINO ROAD MILEAGE CHANGE PORTION)","HTJ8","","","false","",""
"QT","DWW2","4856","1.0242","4.1012","DALSTON W JN - WOOLWICH (NAVARINO RD C.O.M. - NORTH WOOLWICH PORTION)","HTJ8","","","false","",""
"QT","ELL1","6461","0.0240","5.0977","DALSTON - NEW CROSS GATE","HTJ8","","","false","",""
"QT","ELL2","6730","5.0473","6.0340","SURREY CANAL JUNCTION - NEW CROSS","HTJ8","","","false","",""
