"Hazard ID","ELR","Start Mileage","Zonecode","BRS","End Mileage","Track ID","IDENTIFIER","Item Code","MAP","Easting","Northing","Local Name","Subzone","Status","Verified","Parent ID","Parent GRP","Photograph File","Position","Condition","Condition Date","Purpose/Usage","Line No","Intermim Ref No","Last Updated","Last Updater","Maintainer","Year of Birth","Year of Death","Verification Stage","Verification Date","Track Description","Additional Information","OS GRID REF"
"70130492","BBJ","4.1386","QU","","4.1386","9999","","MAP","","528794.0","173095.0","Balham Stn.","HUJ3","","","","","","","","","AC","","70130492","2016-02-08","","NRAIL","","","","","Unknown","","TQ 28794 73095"
"70109208","BBJ","4.1606","QU","","4.1606","1100","","MAP","","528973.0","173045.0","Balham Substation Cavendish Road","HUJ3","","","","","","","","","AC","","70109208","2020-08-04","","NRAIL","","","","","Up Main/Fast","Road access into Tooting Bec Common. Shared gate with Wandsworth Parks,Up ateps to track level. Risk Rating 10, Hazard Rating 2, Score 20, 18 Steps Up. There are two access points at this loaction, one provides access  onto the BBJ and the other onto the VTB1 line via Cavendish road.","TQ 28973 73045"
"70015305","BBJ","5.0026","QU","","5.0026","1900","","MAP","","529121.0","173002.0","Balham Jcn","HUJ3","","","","","","","","","AC","","70015305","2016-02-08","","NRAIL","","","","","Up Siding","Risk Rating 6, Hazard Rating 2, Score 12","TQ 29121 73002"
"70109209","BBJ","5.0889","QU","","5.0889","1100","","MAP","","529881.0","172794.0","Balham R/R Wash Road","HUJ3","","","","","","","","","AC","","70109209","2016-02-08","","NRAIL","","","","","Up Main/Fast","Road access via Tait Road into industrial estate, follow right hand route to double gates, to track level.Risk Rating 6 Hazard Score 2 Score 12 Steps Up","TQ 29881 72794"
"70015306","BBJ","5.121","QU","","5.121","2100","","MAP","","530167.0","172715.0","Streatham Hill Down Sidings","HUJ3","","","","","","","","","AC","","70015306","2016-02-08","","NRAIL","","","","","Down Main/Fast","Risk Rating 3, Hazard Rating 3, Score 9","TQ 30167 72715"
"70130495","BBJ","5.1254","QU","","5.1254","0","","MAP","","530206.0","172704.0","Streatham Hill Stn.","HUJ3","","","","","","","","","AC","","70130495","2016-02-08","","NRAIL","","","","","All/Multiple Tracks","Risk Rating 3, Hazard Rating 3, Score 9","TQ 30206 72704"
"110188203","BBJ","6.0726","QU","","6.0726","1100","","MAP","","531306.0","172573.0","Liegham Jcn","HUJ3","","","","","","","","","AC","","110188203","2024-07-26","","NRAIL","","","","","Up Main/Fast","Access point, not in NHD, what 3 words is asking.matter.cheeks.  Please note longs and lats may be slightly out as got via aivr on down road as no up road footage","TQ 31306 72573"
"70108940","BBJ","6.131","QU","","6.131","2100","","MAP","","531716.0","172277.0","Landsdowne Hill Bridge","HUJ3","","","","","","","","","AC","","70108940","2016-02-08","","NRAIL","","","","","Down Main/Fast","Risk Rating 3, Hazard Rating 2, Score 6, Steps Dn","TQ 31716 72277"
"70130500","BBJ","7.0044","QU","","7.0044","2100","","MAP","","531912.0","172007.0","West Norwood Stn.","HUJ3","","","","","","","","","AC","","70130500","2016-02-08","","NRAIL","","","","","Down Main/Fast","Access through station, Risk Rating 6, Hazard Rating 2, Score 12, 20 Steps Dn","TQ 31912 72007"
"70108942","BBJ","7.0748","QU","","7.0748","2100","","MAP","","532477.0","171617.0","Gipsy Rd / Aubyn Hill","HUJ3","","","","","","","","","AC","","70108942","2016-02-08","","NRAIL","","","","","Down Main/Fast","Pallisade Fencing. Down steps to track level, Risk Rating 6, Hazard Rating 2, Score 12, 20 Steps Dn","TQ 32477 71617"
"70130501","BBJ","7.0775","QU","","7.0775","1100","","MAP","","532496.0","171602.0","Gipsy Rd Bridge","HUJ3","","","","","","","","","AC","","70130501","2016-02-08","","NRAIL","","","","","Up Main/Fast","Risk Rating 3, Hazard Rating 2, Score 6, Steps Dn","TQ 32496 71602"
"110179936","BBJ","7.0972","QU","","7.0988","1100","","MAP","","532661.0","171502.0","2086 - CRYSTAL PALACE REB","HUJ3","","","","","","","","","AC","","110179936","2022-09-09","","NRAIL","","","","","Up Main/Fast","WHAT 3 WORDS ///TOOK.ISSUED.SAGE.     8 STEPS MOT TYPE 1 WOODEN MADE STEPS TO REB.    NO PATHWAY LIGHTING.    NO ADDITIONAL ACCESS DOWN TO TRACK LEVEL.","TQ 32661 71501"
"70130502","BBJ","7.1694","QU","","7.1694","0","","MAP","","533258.0","171267.0","Gipsy Hill Stn","HUJ3","","","","","","","","","AC","","70130502","2016-02-08","","NRAIL","","","","","All/Multiple Tracks","Access through station and side gate. Risk Rating 6, Hazard Rating 2, Score 12","TQ 33258 71267"
"70130504","BBJ","8.1254","QU","","8.1254","0","","MAP","","534140.0","170472.0","Crystal Palace Stn.","HUJ3","","","","","","","","","AC","","70130504","2016-02-08","","NRAIL","","","","","All/Multiple Tracks","Access through staion. Risk Rating 6, Hazard Rating 2, Score 12, 30 Steps Dn","TQ 34140 70472"
"70108943","BBJ","8.1584","QU","","8.1584","9999","","MAP","","534162.0","170173.0","Maberley Road","HUJ3","","","","","","","","","AC","","70108943","2016-02-08","","NRAIL","","","","","Unknown","Risk Rating 6, Hazard Rating 3, Score 18","TQ 34162 70173"
