"ELR_ZONE","ELR","ELR_SYSID","ELR_STARTMILES","End Mileage","ELR_DESCRIPTION","ELR_SUBZONE","ELR_DRNMOD","ELR_STATUS"," ELR_INCLUDE","ELR_SMA","ELR_ELECTRIFICATION"
"QU","ATL","4627","6.1421","7.0770","PECKHAM RYE (ATLANTIC LINE) - BATTERSEA PARK JN","HUJ3","","","false","",""
"QU","BBJ","6215","4.1518","9.1430","BALHAM JN - BECKENHAM JN","HUJ3","","","false","",""
"QU","BBR","4644","22.0765","25.1667","BARNHAM JN - BOGNOR REGIS","HUJ4","","","false","",""
"QU","BJN1","6753","9.0801","9.1547","BROMLEY JN - NORWOOD JN (UP CRYSTAL PALACE LINE)","HUJ3","","","false","",""
"QU","BJN2","4690","9.1056","9.1650","BROMLEY JN - NORWOOD JN (DOWN CRYSTAL PALACE LINE)","HUJ3","","","false","",""
"QU","BLI1","6519","0.0000","19.0532","BRIGHTON (WEST COAST) - LITTLEHAMPTON JN","HUJ4","","","false","",""
"QU","BLI2","4699","60.1270","62.0066","LITTLEHAMPTON JN - LITTLEHAMPTON STN","HUJ4","","","false","",""
"QU","BPJ","0","49.1671","50.0790","LOVERS WALK DEPOT","HUJ4","","","false","",""
"QU","BSF","4785","0.1567","1.0352","BATTERSEA PIER TO FACTORY JUNCTION","HUJ3","","","false","",""
"QU","BSP1","2130","0.1586","1.0352","BATTERSEA PIER JN - LONGHEDGE ""A"" JN VIA STEWARTS LANE","HUJ3","","","false","",""
"QU","BSP2","4786","1.1475","2.0463","LONGHEDGE ""B"" JN - POUPARTS JN","HUJ3","","","false","",""
"QU","BTH1","6732","4.0969","13.0990","SOUTH BERMONDSEY JN - SUTTON JN","HUJ3","","","false","",""
"QU","BTH2","4797","14.1451","17.0726","SUTTON JN - EPSOM JN","HUJ3","","","false","",""
"QU","BTH3","6744","21.0200","35.0928","EPSOM JN - HORSHAM JN","HUJ4","","","false","",""
"QU","BTL","4810","0.0000","8.0184","BRIGHTON (EAST COAST) - LEWES JN","HUJ4","","","false","",""
"QU","CJA1","4833","36.0735","37.0012","COPYHOLD - HAYWARDS HEATH (ARDINGLY BRANCH)","HUJ4","","","false","",""
"QU","CJA2","4834","0.0000","1.0308","COPYHOLD - ARDINGLY","HUJ4","","","false","",""
"QU","CJL","6389","0.1035","0.1517","LUDGATE JN - LATCHMERE JN NO 2","HUJ3","","","false","",""
"QU","CKL","4838","1.1695","2.1186","CULVERT ROAD JN - LATCHMERE JN","HUJ3","","","false","",""
"QU","CMJ","0","3.0121","6.0180","MITCHAM SOUTH JN - WEST CROYDON","HUJ3","","","false","",""
"QU","DEL","0","-999.0000","999.0000","DELETED RECORDS","","","","false","",""
"QU","FJL","4883","60.0616","60.1271","FORD JN - LITTLEHAMPTON JN","HUJ4","","","false","",""
"QU","HGG1","4925","21.0765","30.0836","HURST GREEN JN - EAST GRINSTEAD","HUJ3","","","false","",""
"QU","HHT","4941","4.1387","5.0342","HERNE HILL SOUTH JN - TULSE HILL SOUTH JN","HUJ3","","","false","",""
"QU","KJE1","4957","40.1502","50.0631","KEYMER JN - SITE OF OLD SOUTHERHAM JN (SHORT MP)","HUJ4","","","false","",""
"QU","KJE2","4960","50.0880","51.0258","SITE OF OLD SOUTHERHAM JN (SHORT MP) - SOUTHERHAM JN (NEW)","HUJ4","","","false","",""
"QU","KJE3","4961","9.0289","24.0000","SOUTHERHAM JN - EASTBOURNE STN","HUJ4","","","false","",""
"QU","LBW","6224","7.0617","9.1512","LONDON BRIDGE (PLATS. 7 - 13) - WINDMILL BRIDGE  JN","HUJ3","","","false","",""
"QU","LTH","4998","6.0445","6.0880","TULSE HILL JN (LEIGHAM LINE) - LEIGHAM JN","HUJ3","","","false","",""
"QU","NFE","5057","8.1462","18.1251","NORWOOD JN (WEST CROYDON LINE) - EPSOM DOWNS","HUJ3","","","false","",""
"QU","NHB","5070","56.1226","57.0682","NEWHAVEN HARBOUR JN - NEWHAVEN HARBOUR","HUJ4","","","false","",""
"QU","NYD","6107","10.0660","11.0880","NORWOOD YARD & SELHURST WORKSHOP SIDINGS","HUJ3","","","false","",""
"QU","PAT","5115","14.1694","19.1544","PURLEY - CATERHAM","HUJ3","","","false","",""
"QU","PPH","5119","49.0943","51.0054","PRESTON PARK JN - HOVE","HUJ4","","","false","",""
"QU","RED1","5149","14.0527","14.1320","STOATS NEST JN - COULSDON MILEAGE CHANGE","HUJ3","","","false","",""
"QU","RED2","5150","16.0969","23.0000","COULSDON MILEAGE CHANGE - EARLSWOOD JN","HUJ3","","","false","",""
"QU","RSJ","5162","22.1008","33.0217","REDHILL GUILDFORD LINE JN - SHALFORD JN","HUJ4","","","false","",""
"QU","RTT","5179","22.1130","28.0198","REDHILL TONBRIDGE LINE JN - TONBRIDGE WEST JN","HUJ4","","","false","",""
