"Hazard ID","ELR","Start Mileage","Zonecode","BRS","End Mileage","Track ID","IDENTIFIER","Item Code","MAP","Easting","Northing","Local Name","Subzone","Status","Verified","Parent ID","Parent GRP","Photograph File","Position","Condition","Condition Date","Purpose/Usage","Line No","Intermim Ref No","Last Updated","Last Updater","Maintainer","Year of Birth","Year of Death","Verification Stage","Verification Date","Track Description","Additional Information","OS GRID REF"
"120001644","AAV","29.0704","QW","","29.0704","2100","","MAP","","491751.0","167928.0","Kinross Avenue, Ascot","HWJ2","","","","","","","","","Pedestrian access point","","120001644","2025-09-19","","","","","","","Down Main/Fast","Access gate is behind some garages at the end of Kinross Avenue. ",""
"70234602","AAV","30.0572","QW","","30.0572","2100","","MAP","","491973.0","166437.0","Windlesham TP Hut","HWJ2","","","","","","","","","AC","","70234602","2016-07-27","","BBRM","","","","","Down Main/Fast","ACCESS TO WINDLESHAM TP HUTRisk Rating 2,Hazard Rating 2,Score 4,Steps No.",""
"110176193","AAV","30.0572","QW","","30.0572","1100","","MAP","","491970.0","166451.0","SWINLEY FOREST <GOLF CLUB>","HWJ2","","","","","","","","","","","110176193","2022-07-04","","NRAIL","","","","","Up Main/Fast"," ","SU 91959 66432"
"110154752","AAV","31.1166","QW","","31.1166","2100","","MAP","","491563.0","164337.0","BAGSHOT GARDEN CENTER  DOWN","HWJ2","","","","","","","","","","","110154752","2022-07-04","","","","","","","Down Main/Fast","AUTHORISED ACCESS POINT - PEDESTRIAN","SU 91563 64337"
"120001537","AAV","31.1276","QW","","31.1276","2100","","MAP","","491544.0","164227.0","Bagshot London Road Down","HWJ2","","","","","","","","","","","120001537","2025-08-26","","","","","","","Down Main/Fast","",""
"70234584","AAV","32.0189","QW","","32.0189","1100","","MAP","","491402.0","163633.0","BAGSHOT PLATFORM 1","HWJ2","","","","","","","","","AC","","70234584","2008-09-08","","BBRM","","","","","Up Main/Fast","Risk Rating 6,Hazard Rating 2,Score 12,Steps No.",""
"70234585","AAV","32.0506","QW","","32.0506","1100","","MAP","","491334.0","163322.0","Guildford Road Viaduct <Bagshot>","HWJ2","","","","","","","","","AC","","70234585","2016-07-27","","BBRM","","","","","Up Main/Fast","Risk Rating 6,Hazard Rating 2,Score 12,Steps No.",""
"110154753","AAV","33.0924","QW","","33.0924","1100","","MAP","","490015.0","162088.0","JOLLY FARMER <UP SIDE> BAGSHOT END","HWJ2","","","","","","","","","","","110154753","2022-07-04","","NRAIL","","","","","Up Main/Fast","Adjacent to MOD <ministry of defence> land","SU 90018 62080"
"70234586","AAV","33.099","QW","","33.099","1100","","MAP","","490009.0","162072.0","JOLLY FARMER <UP SIDE> CAMBERLEY END","HWJ2","","","","","","","","","AC","","70234586","2022-01-04","","NRAIL","","","","","Up Main/Fast","Risk Rating 6,Hazard Rating 2,Score 12,Steps No.  Adjacent to MOD <ministry of defence> land",""
"110175327","AAV","33.1122","QW","","33.1122","2100","","MAP","","489896.0","161982.0","JOLLY FARMER <DN SIDE> TP HUT","HWJ2","","","","","","","","","","","110175327","2022-07-04","","NRAIL","","","","","Down Main/Fast","Pedestrian access point from public right through woodland adjacent to The Maultway, allowing access to TP hut. Path to gate can be muddy and uneven so caution advised",""
"70234587","AAV","34.0198","QW","","34.0198","1100","","MAP","","489296.0","161480.0","Gibbett Lane bridge 13","HWJ2","","","","","","","","","AC","","70234587","2016-07-27","","BBRM","","","","","Up Main/Fast","Risk Rating 6,Hazard Rating 2,Score 12,Steps No.",""
"70234588","AAV","34.1459","QW","","34.1459","1100","","MAP","","488377.0","160817.0","Middleton Rd <Upper Park Road> Bridge 14","HWJ2","","","","","","","","","AC","","70234588","2008-09-08","","BBRM","","","","","Up Main/Fast","Risk Rating 6,Hazard Rating 2,Score 12,Steps No.",""
