"ELR_ZONE","ELR","ELR_SYSID","ELR_STARTMILES","End Mileage","ELR_DESCRIPTION","ELR_SUBZONE","ELR_DRNMOD","ELR_STATUS"," ELR_INCLUDE","ELR_SMA","ELR_ELECTRIFICATION"
"QW","AAV","2453","28.1441","40.1254","ASCOT JN - ASH VALE JN","HWJ2","","","false","",""
"QW","AHG","4615","1.1706","2.0968","NINE ELMS JN - LINFORD STREET JN.","HWJ2","","","false","",""
"QW","AJB","4617","-0.0044","0.1683","ADDLESTONE JN - BYFLEET JN","HWJ2","","","false","",""
"QW","BAE1","4632","50.0580","83.1585","BASINGSTOKE (WORTING JN) - SALISBURY (FISHERTON)(SHORT MILE)","HWJ4","","","false","",""
"QW","BAE2","6203","84.0000","163.1100","SALISBURY (FISHERTON)(SHORT MILE) <SR> - EXETER <WR>","HWJ4","","","false","",""
"QW","BBD9","4639","0.0264","1.0264","BOURNEMOUTH WEST CARRIAGE SIDINGS","HWJ4","","","false","",""
"QW","BKE","6510","38.0661","51.0737","READING WESTBURY LINE JUNCTION <W.R.> - BASINGSTOKE STATION <S.R.>","HWJ4","","","false","",""
"QW","BLP","4703","93.0545","98.0330","BROCKENHURST - LYMINGTON PIER","HWJ4","","","false","",""
"QW","BML1","6800","0.0097","77.1530","WATERLOO (MAIN) - NORTHAM (SHORT MILE)","HWJ2","","","false","",""
"QW","BML2","4747","78.0000","136.0322","NORTHAM (SHORT MILE) - DORCHESTER JN","HWJ4","","","false","",""
"QW","BML3","4771","162.0317","168.1386","DORCHESTER JN - WEYMOUTH","HWJ4","","","false","",""
"QW","BOK5","4780","3.0859","3.1511","ACTON WELLS JN <LM> - OLD KEW JN <SR>","HWJ2","","","false","",""
"QW","BTH2","4797","17.0727","19.0035","SUTTON JN - EPSOM JN","HWJ2","","","false","",""
"QW","BTH3","6744","14.0582","21.0199","EPSOM JN - HORSHAM JN","HWJ2","","","false","",""
"QW","CJL","6389","0.0810","0.1034","LUDGATE JN - LATCHMERE JN NO 2","HWJ2","","","false","",""
"QW","CLJ8","6079","3.0412","4.0250","CLAPHAM JUNCTION SIDINGS 1-33 INC","HWJ2","","","false","",""
"QW","CLJ9","6080","3.1430","4.1024","CLAPHAM JUNCTION YARD SIDINGS 34 TO 49 INC","HWJ2","","","false","",""
"QW","DEL","0","-999.0000","999.0000","DELETED RECORDS","","","","false","",""
"QW","ECR","4859","73.0660","80.0752","EASTLEIGH EAST JN - ROMSEY JN","HWJ4","","","false","",""
"QW","ETF","4865","73.0860","84.0213","EASTLEIGH WEST JN - FAREHAM EAST JN","HWJ4","","","false","",""
"QW","EYD","6085","72.1100","74.0000","EASTLEIGH MARSHALLING YARD","HWJ4","","","false","",""
"QW","EYD3","0","73.0243","74.0421","EASTLEIGH FIELD SIDINGS & LOCO STANDING","HWJ4","","","false","",""
"QW","EYD4","6090","73.0641","73.1700","EASTLEIGH STATION CARRIAGE SIDINGS NO 1-14.","HWJ4","","","false","",""
"QW","EYD6","0","73.1098","73.1148","EASTLEIGH WORKS (BRML) SHED ROADS & EXTENSIONS RDS 1 - 15","HWJ4","","","false","",""
"QW","EYD9","0","73.1024","74.1270","EASTLEIGH CARRIAGE SERVICING SIDINGS","HWJ4","","","false","",""
"QW","FJJ","4881","90.0939","91.0341","COSHAM JN - FARLINGTON JN","HWJ4","","","false","",""
"QW","FLL2","6095","1.1695","2.0660","LONGHEDGE ""A"" JN - LUDGATE LINE SE/SW BOUNDARY","HWJ2","","","false","",""
"QW","FLL3","6543","3.0638","4.0330","LUDGATE LINE SE/SW BOUNDARY TO CLAPHAM JTN WESTERN SIDE","HWJ2","","","false","",""
"QW","FTB","0","84.0594","87.0462","FAREHAM WEST JN - BEDENHAM SIDINGS","HWJ4","","","false","",""
"QW","FUR","4902","126.0660","129.1221","WORGET JN - FURZEBROOK SIDINGS","HWJ4","","","false","",""
"QW","GTW1","3283","30.0016","35.1100","GUILDFORD SOUTH JN - ASH JN (SITE OF)","HWJ2","","","false","",""
"QW","GTW2","4904","48.0748","61.1621","ASH JN (SITE OF) - WOKINGHAM JN","HWJ2","","","false","",""
"QW","HAG","4909","115.1186","118.0110","HAMWORTHY JN - HAMWORTHY GOODS","HWJ4","","","false","",""
"QW","HAM","4911","12.0585","14.1699","SURBITON (DN HAMPTON CRT LINE JN) - HAMPTON COURT VIA HAMPTON CRT JN","HWJ2","","","false","",""
"QW","HJW","4942","14.0204","14.0920","HOUNSLOW JN - WHITTON JN","HWJ2","","","false","",""
"QW","HOU","4945","7.0298","14.0850","BARNES JN - FELTHAM JN (VIA HOUNSLOW)","HWJ2","","","false","",""
"QW","IOW","0","0.0000","8.0682","RYDE PIER HEAD - SHANKLIN (ISLE OF WIGHT)","HWJ4","","","false","",""
"QW","JAT","4955","0.0097","0.0879","WATERLOO INTERNATIONAL TERMINAL APPROACHES","HWJ2","","","false","",""
"QW","LAV","4969","82.0232","82.0883","LAVERSTOCK NORTH JN - LAVERSTOCK SOUTH JN","HWJ4","","","false","",""
"QW","LEJ","6743","18.0215","22.0336","LEATHERHEAD JN - EFFINGHAM JN","HWJ2","","","false","",""
"QW","LUD1","4635","66.0565","67.1342","ANDOVER JN - SITE OF REDPOST JN (LUDGERSHALL BRANCH)","HWJ4","","","false","",""
"QW","LUD2","4636","0.0000","5.1700","SITE OF REDPOST JN (ANDOVER) - LUDGERSHALL","HWJ4","","","false","",""
