"Hazard ID","ELR","Start Mileage","Zonecode","BRS","End Mileage","Track ID","IDENTIFIER","Item Code","MAP","Easting","Northing","Local Name","Subzone","Status","Verified","Parent ID","Parent GRP","Photograph File","Position","Condition","Condition Date","Purpose/Usage","Line No","Intermim Ref No","Last Updated","Last Updater","Maintainer","Year of Birth","Year of Death","Verification Stage","Verification Date","Track Description","Additional Information","OS GRID REF"
"110113327","DEL","0.0126","ST","","0.0127","","","MA","","","","","W","","","","","","","","","","","110113327","1999-11-29","","","","","","","","",""
"100000808","DEL","39.0735","ST","","40.044","2100","","MAP","","563009.0","171612.0","Off Downs Rd on Right Side North of Bridge","XXX","","","","","","","","","Access Path","","100000808","2024-01-19","","","","","","","Down Main/Fast","Access Path to Turnouts on Down CTRL - Access Path Approx. 440 Meters",""
"100001964","DEL","40.014","ST","","40.014","2100","","MAP","","563353.0","171393.0","At End of Access Track","XXX","","","","","","","","","Auth Access - pedestrians","","100001964","2024-01-19","","","","","","","Down Main/Fast","Access Stairs to Down Track Turnouts",""
"100001965","DEL","40.014","ST","","40.014","1100","","MAP","","563331.0","171342.0","At Turnouts","XXX","","","","","","","","","Auth Access - pedestrians","","100001965","2024-01-19","","","","","","","Up Main/Fast","Access Stairs to Up Track Turnouts",""
"100001992","DEL","44.048","ST","","44.048","2100","","MAP","","567416.0","169729.0","Off Scotland Lane Bridge North Side","XXX","","","","","","","","","Auth Access - pedestrians","","100001992","2024-01-19","","","","","","","Down Main/Fast","Access Stairs to Down Line at Scotland Lane",""
"100001994","DEL","44.053","ST","","44.053","1100","","MAP","","567389.0","169650.0","Off Scotland Lane Bridge South Side","XXX","","","","","","","","","Auth Access - pedestrians","","100001994","2024-01-19","","","","","","","Up Main/Fast","Access Stairs to Up Line at Scotland Lane",""
"100001996","DEL","45.02","ST","","45.02","1100","","MAP","","568075.0","169566.0","Off Brewers Rd South Side of Bridge","XXX","","","","","","","","","Auth Access - pedestrians","","100001996","2024-01-19","","","","","","","Up Main/Fast","Pedestrian Access at Stairs to up Line at Halfpence Lane Tunnel",""
"100001998","DEL","46.053","ST","","46.053","1100","","MAP","","569370.0","169443.0","From Park Pale Underbridge","XXX","","","","","","","","","Auth Access - pedestrians","","100001998","2024-01-19","","","","","","","Up Main/Fast","Access Stairs to Up Line at Park Pale",""
"100004284","DEL","51.0505","ST","","51.0505","1100","","MAP","","572841.0","166139.0","Off Burnham Road","XXX","","","","","","","","","","","100004284","2024-01-19","","","","","","","Up Main/Fast","Authorised Pedestrian Access to Drainage Soakaway Area",""
"100004321","DEL","58.045","ST","","58.045","1100","","MAP","","575547.0","159826.0","Near Oakvale Dry Valley Culvert","XXX","","","","","","","","","","","100004321","2024-01-19","","","","","","","Up Main/Fast","Authorised Access to Up Line at Oakvale Dry Valley",""
"100004324","DEL","58.084","ST","","58.084","1100","","MAP","","575805.0","159525.0","Near Boarley Dry Valley Culvert","XXX","","","","","","","","","","","100004324","2024-01-19","","","","","","","Up Main/Fast","Authorised Access to Up Line at Boarley Dry Valley",""
"100004329","DEL","59.0245","ST","","59.0245","2100","","MAP","","576097.0","159252.0","Off Boarley Lane Down CTRL Vehicle Turning Head","XXX","","","","","","","","","","","100004329","2024-01-19","","NV","","","","","Down Main/Fast","Authorised Access to Down Line at Boarley Farm Access Road",""
"100004333","DEL","59.027","ST","","59.027","1100","","MAP","","576102.0","159225.0","End of Boarley Lane Up CTRL Access Road","XXX","","","","","","","","","","","100004333","2024-01-19","","NV","","","","","Up Main/Fast","Authorised Access Gate to Up Line at Boarley Lane Access Road",""
"100004338","DEL","60.015","ST","","60.015","1100","","MAP","","576731.0","158624.0","Off Donkey Shaws Farm Track South of Tunnel","XXX","","","","","","","","","","","100004338","2024-01-19","","NV","","","","","Up Main/Fast","Authorised Access to Up and Down Line at Boxley Tunnel West/London Portal",""
"100004351","DEL","60.0498","ST","","60.0498","2100","","MAP","","577084.0","158485.0","At Bottom of Access Path","XXX","","","","","","","","","","","100004351","2024-01-19","","NV","","","","","Down Main/Fast","Authorised Access to Down Line at Boxley Tunnel East/Country Portal",""
"100004363","DEL","61.011","ST","","61.011","1100","","MAP","","577617.0","158181.0","At Harbourlands Farm Drain Culvert","XXX","","","","","","","","","","","100004363","2024-01-19","","NV","","","","","Up Main/Fast","Authorised Access to Up Line at Harbourlands Farm Drain",""
"100004371","DEL","62.002","ST","","62.002","2100","","MAP","","578447.0","157825.0","From Path to North of Workhouse Accom. Bridge","XXX","","","","","","","","","","","100004371","2024-01-19","","NV","","","","","Down Main/Fast","Authorised Access to Down Line at Workhouse Accommodation Bridge",""
"100004374","DEL","62.002","ST","","62.002","1100","","MAP","","578441.0","157811.0","From Path to South of Workhouse Accom. Bridge","XXX","","","","","","","","","","","100004374","2024-01-19","","NV","","","","","Up Main/Fast","Authorised Access to Up Line at Workhouse Accommodation Bridge",""
"100004379","DEL","62.0485","ST","","62.0485","2100","","MAP","","578874.0","157631.0","Next to Horish Wood Dry Valley Culvert","XXX","","","","","","","","","","","100004379","2024-01-19","","NV","","","","","Down Main/Fast","Authorised Access to Down Line at Horish Wood",""
"100004381","DEL","62.0485","ST","","62.0485","1100","","MAP","","578868.0","157616.0","Next to Horish Wood Dry Valley Culvert","XXX","","","","","","","","","","","100004381","2024-01-19","","NV","","","","","Up Main/Fast","Authorised Access to Up Line at Horish Wood",""
"100004387","DEL","62.07","ST","","62.07","1100","","MAP","","579064.0","157526.0","Off Hockers Lane","XXX","","","","","","","","","","","100004387","2024-01-19","","NV","","","","","Up Main/Fast","Authorised Access to Up Line at Hockers Lane",""
"100004394","DEL","62.091","ST","","62.091","1100","","MAP","","579254.0","157440.0","Next to Detling Dry Valley Culvert","XXX","","","","","","","","","","","100004394","2024-01-19","","NV","","","","","Up Main/Fast","Authorised Access to Up Line at Detling Dry Valley",""
"100004392","DEL","62.0915","ST","","62.0915","2100","","MAP","","579265.0","157452.0","Next to Detling Dry Valley Culvert","XXX","","","","","","","","","","","100004392","2024-01-19","","NV","","","","","Down Main/Fast","Authorised Access to Down Line at Detling Dry Valley",""
"100004396","DEL","63.011","ST","","63.011","2100","","MAP","","579444.0","157369.0","Next to Honeyhills Dry Valley Culvert","XXX","","","","","","","","","","","100004396","2024-01-19","","NV","","","","","Down Main/Fast","Access Gate to Down Line at Honeyhills Dry Valley",""
"100004398","DEL","63.012","ST","","63.012","1100","","MAP","","579445.0","157352.0","Next to Honeyhills Dry Valley Culvert","XXX","","","","","","","","","","","100004398","2024-01-19","","NV","","","","","Up Main/Fast","Access Gate to Up Line at Honeyhills Dry Valley",""
"100004407","DEL","63.093","ST","","63.093","2100","","MAP","","580152.0","156955.0","Off Thurnham Lane North of Bridge","XXX","","","","","","","","","","","100004407","2024-01-19","","NV","","","","","Down Main/Fast","Authorised Access to Down Line at Thurnham Lane",""
"100004412","DEL","63.099","ST","","63.099","1100","","MAP","","580190.0","156909.0","Off Thurnham Lane South of Bridge","XXX","","","","","","","","","","","100004412","2024-01-19","","NV","","","","","Up Main/Fast","Access Gate to Up Line at Thurnham Lane",""
"100004414","DEL","64.048","ST","","64.048","2100","","MAP","","580581.0","156614.0","At Gore Wood Dry Valley","XXX","","","","","","","","","","","100004414","2024-01-19","","NV","","","","","Down Main/Fast","Authorised Access to Down Line at Gore Wood Dry Valley",""
"100004416","DEL","64.087","ST","","64.087","1100","","MAP","","580863.0","156344.0","At End of Access Road M20 side of Bridge","XXX","","","","","","","","","","","100004416","2024-01-19","","NV","","","","","Up Main/Fast","Authorised Access to Up Line at Water Lane Up CTRL",""
"100004420","DEL","64.0875","ST","","64.0875","2100","","MAP","","580877.0","156352.0","At Bottom of Stairs off Water Lane","XXX","","","","","","","","","","","100004420","2024-01-19","","NV","","","","","Down Main/Fast","Authorised Access to Down Line at Water Lane",""
"100004433","DEL","65.098","ST","","65.098","2100","","MAP","","581721.0","155643.0","At Bottom of Crismill Lane Down CTRL Stairs","XXX","","","","","","","","","","","100004433","2024-01-19","","NV","","","","","Down Main/Fast","Authorised Access to Down Line at Crismill Lane",""
